Value,Year,ProviderType,Purpose
3848865,2012,COLLEGE,EDUCATION
38877,2012,COMPANY,EDUCATION
658883,2012,COMPANY,EDUCATION
1031215,2012,COMPANY,EDUCATION
141501,2012,COLLEGE,EDUCATION
1181892,2012,COLLEGE,EDUCATION
6075027,2012,COLLEGE,EDUCATION
674103,2012,COMPANY,EDUCATION
2061901,2012,COMPANY,EDUCATION
557876,2012,COMPANY,EDUCATION
886120,2012,COMPANY,EDUCATION
426244,2012,COMPANY,EDUCATION
626182,2012,COMPANY,EDUCATION
68906,2012,COMPANY,EDUCATION
295079,2012,COMPANY,EDUCATION
664255,2012,COMPANY,EDUCATION
4551372,2012,COMPANY,EDUCATION
334891,2012,COLLEGE,EDUCATION
721027,2012,COLLEGE,EDUCATION
556841,2012,COLLEGE,EDUCATION
2119979,2012,COLLEGE,EDUCATION
444880,2012,COMPANY,EDUCATION
537097,2012,COMPANY,EDUCATION
192086,2012,COMPANY,EDUCATION
613236,2012,COMPANY,EDUCATION
647126,2012,COMPANY,EDUCATION
3381593,2012,COLLEGE,EDUCATION
6970449,2012,COLLEGE,EDUCATION
156070,2012,COMPANY,EDUCATION
1029656,2012,COMPANY,EDUCATION
104475,2012,COLLEGE,EDUCATION
1498940,2012,COLLEGE,EDUCATION
9683908,2012,COLLEGE,EDUCATION
116933,2012,COMPANY,EDUCATION
118589,2012,COMPANY,EDUCATION
440351,2012,COMPANY,EDUCATION
1059872,2012,COMPANY,EDUCATION
541653,2012,COMPANY,EDUCATION
902238,2012,COMPANY,EDUCATION
56217,2012,COLLEGE,EDUCATION
221715,2012,COLLEGE,EDUCATION
947413,2012,COLLEGE,EDUCATION
10881630,2012,COMPANY,EDUCATION
22423813,2012,COMPANY,EDUCATION
222868,2012,COMPANY,EDUCATION
592194,2012,COMPANY,EDUCATION
127341,2012,COMPANY,EDUCATION
166715,2012,COMPANY,EDUCATION
113320,2012,COLLEGE,EDUCATION
19252766,2012,COLLEGE,EDUCATION
1150979,2012,COLLEGE,EDUCATION
4265312,2012,COLLEGE,EDUCATION
255471,2012,COLLEGE,EDUCATION
688791,2012,COLLEGE,EDUCATION
5816440,2012,COLLEGE,EDUCATION
894949,2012,COLLEGE,EDUCATION
4524223,2012,COLLEGE,EDUCATION
134519,2012,COLLEGE,EDUCATION
2176816,2012,COLLEGE,EDUCATION
7128076,2012,COLLEGE,EDUCATION
259677,2012,COMPANY,EDUCATION
597590,2012,COMPANY,EDUCATION
327103,2012,COLLEGE,EDUCATION
471759,2012,COLLEGE,EDUCATION
3320345,2012,COLLEGE,EDUCATION
480855,2012,COLLEGE,EDUCATION
3996112,2012,COLLEGE,EDUCATION
15184576,2012,COLLEGE,EDUCATION
202599,2012,COLLEGE,EDUCATION
689015,2012,COLLEGE,EDUCATION
10706093,2012,COLLEGE,EDUCATION
256026,2012,COLLEGE,EDUCATION
9430698,2012,COLLEGE,EDUCATION
228380,2012,COLLEGE,EDUCATION
1604702,2012,COLLEGE,EDUCATION
10453543,2012,COLLEGE,EDUCATION
109522,2012,COMPANY,EDUCATION
547041,2012,COMPANY,EDUCATION
644674,2012,COMPANY,EDUCATION
281157,2012,COMPANY,EDUCATION
299464,2012,COMPANY,EDUCATION
27442,2012,COLLEGE,EDUCATION
504747,2012,COLLEGE,EDUCATION
43085,2012,COMPANY,EDUCATION
308512,2012,COMPANY,EDUCATION
58230,2012,COMPANY,EDUCATION
2286869,2012,COMPANY,EDUCATION
6001572,2012,COMPANY,EDUCATION
361556,2012,COLLEGE,EDUCATION
15515117,2012,COLLEGE,EDUCATION
22336,2012,COLLEGE,EDUCATION
143227,2012,COLLEGE,EDUCATION
131519,2012,COLLEGE,EDUCATION
1573064,2012,COLLEGE,EDUCATION
7283742,2012,COLLEGE,EDUCATION
176342,2012,COMPANY,EDUCATION
234298,2012,COMPANY,EDUCATION
427891,2012,COMPANY,EDUCATION
13893,2012,COMPANY,EDUCATION
415806,2012,COMPANY,EDUCATION
2754479,2012,COMPANY,EDUCATION
62829,2012,COMPANY,EDUCATION
967394,2012,COMPANY,EDUCATION
181995,2012,COMPANY,EDUCATION
673887,2012,COMPANY,EDUCATION
216055,2012,COMPANY,EDUCATION
297221,2012,COMPANY,EDUCATION
128224,2012,COMPANY,EDUCATION
374884,2012,COMPANY,EDUCATION
86118,2012,COMPANY,EDUCATION
392802,2012,COLLEGE,EDUCATION
3309276,2012,COLLEGE,EDUCATION
11971253,2012,COLLEGE,EDUCATION
95025,2012,COLLEGE,EDUCATION
21952,2012,COMPANY,EDUCATION
87749,2012,COMPANY,EDUCATION
1173795,2012,COMPANY,EDUCATION
1530274,2012,COMPANY,EDUCATION
2805995,2012,COMPANY,EDUCATION
3533279,2012,COMPANY,EDUCATION
23764,2012,UNIVERSITY,EDUCATION
27212,2012,UNIVERSITY,EDUCATION
548188,2012,COMPANY,EDUCATION
722654,2012,COMPANY,EDUCATION
75298,2012,COLLEGE,EDUCATION
1319955,2012,COLLEGE,EDUCATION
3500376,2012,COLLEGE,EDUCATION
13224,2012,COMPANY,EDUCATION
38666,2012,COMPANY,EDUCATION
597195,2012,COLLEGE,EDUCATION
8625967,2012,COLLEGE,EDUCATION
1453714,2012,COMPANY,EDUCATION
3925586,2012,COMPANY,EDUCATION
41513,2012,COMPANY,EDUCATION
1889961,2012,COMPANY,EDUCATION
173117,2012,COMPANY,EDUCATION
252868,2012,COMPANY,EDUCATION
2423,2012,COMPANY,EDUCATION
1094027,2012,COMPANY,EDUCATION
1506966,2012,COMPANY,EDUCATION
19990,2012,COMPANY,EDUCATION
155807,2012,COMPANY,EDUCATION
118007,2012,COMPANY,EDUCATION
329204,2012,COMPANY,EDUCATION
360443,2012,COMPANY,EDUCATION
465579,2012,COMPANY,EDUCATION
119266,2012,COMPANY,EDUCATION
151877,2012,COMPANY,EDUCATION
692891,2012,COMPANY,EDUCATION
783669,2012,COMPANY,EDUCATION
188003,2012,COMPANY,EDUCATION
211168,2012,COMPANY,EDUCATION
273601,2012,COMPANY,EDUCATION
55693,2012,COLLEGE,EDUCATION
1718172,2012,COLLEGE,EDUCATION
7273805,2012,COLLEGE,EDUCATION
419149,2012,COMPANY,EDUCATION
555136,2012,COMPANY,EDUCATION
185839,2012,COMPANY,EDUCATION
849506,2012,COMPANY,EDUCATION
216933,2012,COMPANY,EDUCATION
1065558,2012,COMPANY,EDUCATION
151527,2012,UNIVERSITY,EDUCATION
40158,2012,COLLEGE,EDUCATION
289702,2012,COLLEGE,EDUCATION
1541214,2012,COLLEGE,EDUCATION
5135,2012,COMPANY,EDUCATION
21138,2012,COMPANY,EDUCATION
248523,2012,COMPANY,EDUCATION
592712,2012,COMPANY,EDUCATION
