,Institution,Year,Purpose,Region,Value
175,ANDERSONSTOCKLEYACCREDITEDTRAINING,2013,EDUCATION,UNKNOWN,159325
176,ANDERSONSTOCKLEYACCREDITEDTRAINING,2014,EDUCATION,UNKNOWN,326403
177,ANDERSONSTOCKLEYACCREDITEDTRAINING,2015,EDUCATION,UNKNOWN,409617
178,ANDERSONSTOCKLEYACCREDITEDTRAINING,2016,EDUCATION,UNKNOWN,318058
179,ANDREWCOLLINGETRAINING,2012,EDUCATION,UNKNOWN,685567
180,ANDREWCOLLINGETRAINING,2013,EDUCATION,UNKNOWN,787387
181,ANDREWCOLLINGETRAINING,2014,EDUCATION,UNKNOWN,623478
182,ANDREWCOLLINGETRAINING,2015,EDUCATION,UNKNOWN,694324
183,ANDREWCOLLINGETRAINING,2016,EDUCATION,UNKNOWN,770146
184,ANDROMEDADIGITALLIMTED,2016,EDUCATION,EAST OF ENGLAND,275721
185,ANGLIARUSKINUNIVERSITY,2012,EDUCATION,UNKNOWN,26202250
186,ANGLIARUSKINUNIVERSITY,2012,KNOWLEDGE EXCHANGE,UNKNOWN,28965686
187,ANGLIARUSKINUNIVERSITY,2012,RESEARCH,UNKNOWN,1033840
188,ANGLIARUSKINUNIVERSITY,2013,EDUCATION,UNKNOWN,18258533
189,ANGLIARUSKINUNIVERSITY,2013,KNOWLEDGE EXCHANGE,UNKNOWN,1729596
190,ANGLIARUSKINUNIVERSITY,2013,RESEARCH,UNKNOWN,18258533
191,ANGLIARUSKINUNIVERSITY,2014,EDUCATION,UNKNOWN,11237589
192,ANGLIARUSKINUNIVERSITY,2014,KNOWLEDGE EXCHANGE,UNKNOWN,1729596
193,ANGLIARUSKINUNIVERSITY,2014,RESEARCH,UNKNOWN,1149714
194,ANGLIARUSKINUNIVERSITY,2015,EDUCATION,UNKNOWN,11627833
195,ANGLIARUSKINUNIVERSITY,2015,KNOWLEDGE EXCHANGE,UNKNOWN,2594394
196,ANGLIARUSKINUNIVERSITY,2015,RESEARCH,UNKNOWN,2293666
197,ANGLIARUSKINUNIVERSITY,2016,EDUCATION,UNKNOWN,11609082
198,ANGLIARUSKINUNIVERSITY,2016,KNOWLEDGE EXCHANGE,UNKNOWN,2850000
199,ANGLIARUSKINUNIVERSITY,2016,RESEARCH,UNKNOWN,2185729
200,ANNECLARKEASSOCIATES,2012,EDUCATION,UNKNOWN,2672178
201,ANNECLARKEASSOCIATES,2013,EDUCATION,UNKNOWN,3163892
202,ANNECLARKEASSOCIATES,2014,EDUCATION,UNKNOWN,2958838
203,ANNECLARKEASSOCIATES,2015,EDUCATION,UNKNOWN,2431261
204,ANSTEYHORNE,2016,BUSINESS,UNKNOWN,6599999
205,ANTITOPE,2016,EDUCATION,EAST OF ENGLAND,144966
206,APPLIEDPHOTOPHYSICS,2016,RESEARCH,UNKNOWN,614375
207,APPRENTICEFUNDINGASSISTANT,2012,EDUCATION,UNKNOWN,112972
208,APPRENTICEFUNDINGASSISTANT,2013,EDUCATION,UNKNOWN,1236761
209,APPRENTICEFUNDINGASSISTANT,2014,EDUCATION,UNKNOWN,1501909
210,APPRENTICEFUNDINGASSISTANT,2015,EDUCATION,UNKNOWN,1457585
