LeadROName,ProjectCategory,year,AwardPounds
KINGSTON UNIVERSITY,RESEARCH,2018,183120
KINGSTON UNIVERSITY,RESEARCH,2011,385242
KINGSTON UNIVERSITY HIGHER EDUCATION CORPORATION,BUSINESS,2016,361356
KINSENSUS LIMITED,RESEARCH,2018,101500
KIROKU LIMITED,RESEARCH,2018,70000
KNOWLEDGE CAPITAL LTD,RESEARCH,2018,69776
KNOWLEDGE NOW LIMITED,RESEARCH,2018,83407
KNOWLEDGE TRANSFER NETWORK,RESEARCH,2015,521000
KNOWLEDGE TRANSFER NETWORK,RESEARCH,2018,2032061
KNOWLEDGE TRANSFER NETWORK,BUSINESS,2015,52274701
KNOWLEDGE TRANSFER NETWORK,BUSINESS,2017,857010
KNOWLEDGE TRANSFER NETWORK,BUSINESS,2018,254590
KNOWLEDGE TRANSFER NETWORK LIMITED,RESEARCH,2018,1115000
KOKOON TECHNOLOGY LTD,RESEARCH,2018,338855
KOOLMILL SYSTEMS LTD,RESEARCH,2017,289709
KOPERNIO LIMITED,RESEARCH,2018,116876
KORTICAL LTD,RESEARCH,2018,742508
KPAD LTD,RESEARCH,2017,223541
KRATOS ANALYTICAL LIMITED,RESEARCH,2017,68829
KROMEK LIMITED,RESEARCH,2017,863170
KROMEK LIMITED,RESEARCH,2018,957269
KROMEK LIMITED,RESEARCH,2018,320768
KUEHNE + NAGEL LIMITED,RESEARCH,2017,2138313
KUKA ROBOTICS UK LTD,RESEARCH,2018,504207
KULIMA INTEGRATED DEVELOPMENT SOLUTIONS,RESEARCH,2015,554141
KW SPECIAL PROJECTS LIMITED,RESEARCH,2017,520649
KW SPECIAL PROJECTS LIMITED,RESEARCH,2018,678204
KW SPECIAL PROJECTS LIMITED,RESEARCH,2018,304320
KWS UK LIMITED,RESEARCH,2014,162336
KWS UK LIMITED,RESEARCH,2015,853849
KWS UK LIMITED,RESEARCH,2016,326104
KWS UK LIMITED,RESEARCH,2018,732917
KYMIRA LIMITED,RESEARCH,2018,373259
KYMIRA LIMITED,RESEARCH,2018,132332
L & B CARE SERVICES LTD,RESEARCH,2018,65914
L.P.W. TECHNOLOGY LIMITED,RESEARCH,2017,680905
LABGENIUS LIMITED,RESEARCH,2017,654711
LABXERO LIMITED,RESEARCH,2017,625534
LABXERO LIMITED,RESEARCH,2018,1437972
LANCASTER UNIVERSITY,EDUCATION,2016,2498789
LANCASTER UNIVERSITY,EDUCATION,2017,1846013
LANCASTER UNIVERSITY,EDUCATION,2018,1638654
LANCASTER UNIVERSITY,BUSINESS,2015,166902
LANCASTER UNIVERSITY,BUSINESS,2016,100229
LANCASTER UNIVERSITY,BUSINESS,2018,100022
LANCASTER UNIVERSITY,RESEARCH,2013,5793761
LANCASTER UNIVERSITY,RESEARCH,2014,898013
LANCASTER UNIVERSITY,RESEARCH,2015,19649444
LANCASTER UNIVERSITY,RESEARCH,2016,16178862
LANCASTER UNIVERSITY,RESEARCH,2017,26796682
LANCASTER UNIVERSITY,RESEARCH,2018,14552738
LANCASTER UNIVERSITY,RESEARCH,2013,68648
LANCASTER UNIVERSITY,RESEARCH,2014,10716684
LANCASTER UNIVERSITY,RESEARCH,2015,1869846
LANCASTER UNIVERSITY,RESEARCH,2016,1998492
LANCASTER UNIVERSITY,RESEARCH,2017,1955003
LANCASTER UNIVERSITY,RESEARCH,2018,3907796
LANDFILL SYSTEMS MAINTENANCE LIMITED,RESEARCH,2018,65928
LARKFLEET LIMITED,RESEARCH,2017,367310
LARKFLEET LIMITED,RESEARCH,2017,203250
LAUNCHPAD RECRUITS LTD,RESEARCH,2017,236991
LAURIE ANDREW MARK FREEMAN,RESEARCH,2018,8414
LAWRENCE DAVID LIMITED,RESEARCH,2017,346925
LCMB BUILDING PERFORMANCE LTD,RESEARCH,2016,221071
LEAH BERTRAM,RESEARCH,2018,8414
LEAPIAN LTD,RESEARCH,2018,67375
LEEDS & YORK PARTNERSHIP NHS FDN TRUST,RESEARCH,2013,668736
LEEDS BECKETT UNIVERSITY,BUSINESS,2015,59171
LEEDS BECKETT UNIVERSITY,BUSINESS,2016,104355
LEEDS BECKETT UNIVERSITY,BUSINESS,2017,80207
LEEDS BECKETT UNIVERSITY,BUSINESS,2018,85935
LEEDS METROPOLITAN UNIVERSITY,RESEARCH,2015,301001
LEEDS METROPOLITAN UNIVERSITY,RESEARCH,2016,342699
LETTUS GROW LTD,RESEARCH,2018,488981
LEYLAND TRUCKS LIMITED,RESEARCH,2018,1976095
LGC LIMITED,RESEARCH,2018,186948
LIBERTINE FPE LIMITED,RESEARCH,2017,868678
LICENERGY (UK) LIMITED,RESEARCH,2018,747636
LIF NANO RX LTD,RESEARCH,2017,828627
LIG BIOWISE LIMITED,RESEARCH,2018,34270
LIGHTBULB ES LIMITED,RESEARCH,2018,112277
LIGHTPOINT MEDICAL LTD,RESEARCH,2017,965703
LIGHTRICITY LIMITED,RESEARCH,2018,69750
LILONGWE UNI OF AGRI AND NAT RESOURCES,RESEARCH,2016,36973
LIMBIK LIMITED,RESEARCH,2018,43437
LINA ENERGY LTD,RESEARCH,2018,198712
LIQUID BRONZE LIMITED,RESEARCH,2018,230136
LIQUID VISION INNOVATION LIMITED,RESEARCH,2018,74315
LITTLEPORT MUSHROOM FARMS LLP,RESEARCH,2017,354483
LITUS INDUSTRIAL LIMITED,EDUCATION,2018,37029
LITUS INDUSTRIAL LIMITED,RESEARCH,2018,67806
LIVE CINEMA LTD.,RESEARCH,2018,23817
LIVERPOOL HOPE UNIVERSITY,RESEARCH,2018,119531
LIVERPOOL HOPE UNIVERSITY,RESEARCH,2018,54433
LIVERPOOL JOHN MOORES UNIVERSITY,RESEARCH,2018,323101
LIVERPOOL JOHN MOORES UNIVERSITY,EDUCATION,2017,114140
LIVERPOOL JOHN MOORES UNIVERSITY,EDUCATION,2018,195795
LIVERPOOL JOHN MOORES UNIVERSITY,BUSINESS,2018,220833
LIVERPOOL JOHN MOORES UNIVERSITY,RESEARCH,2014,517676
LIVERPOOL JOHN MOORES UNIVERSITY,RESEARCH,2015,1314851
LIVERPOOL JOHN MOORES UNIVERSITY,RESEARCH,2016,350698
LIVERPOOL JOHN MOORES UNIVERSITY,RESEARCH,2017,735885
LIVERPOOL JOHN MOORES UNIVERSITY,RESEARCH,2018,3423049
LIVERPOOL JOHN MOORES UNIVERSITY,RESEARCH,2014,212601
LIVERPOOL JOHN MOORES UNIVERSITY,RESEARCH,2015,578040
LIVERPOOL JOHN MOORES UNIVERSITY,RESEARCH,2016,193392
LIVERPOOL JOHN MOORES UNIVERSITY,RESEARCH,2017,223617
LIVERPOOL JOHN MOORES UNIVERSITY,RESEARCH,2018,324208
LIVERPOOL SCHOOL OF TROPICAL MEDICINE,EDUCATION,2017,290658
LIVERPOOL SCHOOL OF TROPICAL MEDICINE,RESEARCH,2014,1305346
LIVERPOOL SCHOOL OF TROPICAL MEDICINE,RESEARCH,2015,5518796
LIVERPOOL SCHOOL OF TROPICAL MEDICINE,RESEARCH,2016,1147905
LIVERPOOL SCHOOL OF TROPICAL MEDICINE,RESEARCH,2017,10453008
LIVERPOOL SCHOOL OF TROPICAL MEDICINE,RESEARCH,2018,4937268
LIVING WATER ECOSYSTEMS LTD.,RESEARCH,2018,569335
LIVING WITH LTD,RESEARCH,2018,523224
LLEO LIMITED,RESEARCH,2018,68501
LOCATE THERAPEUTICS LIMITED,RESEARCH,2017,614952
LOIS MEDICAL  LTD,RESEARCH,2018,165688
LOMBARD MEDICAL LIMITED,RESEARCH,2018,480665
LONDON BUSINESS SCHOOL,RESEARCH,2017,330800
LONDON EV COMPANY LIMITED,RESEARCH,2016,17526757
LONDON FOREST PRODUCTS LIMITED,RESEARCH,2017,68991
LONDON METROPOLITAN UNIVERSITY,RESEARCH,2018,82245
LONDON SCH OF HYGIENE AND TROP MEDICINE,EDUCATION,2013,368319
LONDON SCH OF HYGIENE AND TROP MEDICINE,EDUCATION,2014,222310
LONDON SCH OF HYGIENE AND TROP MEDICINE,EDUCATION,2015,1684847
LONDON SCH OF HYGIENE AND TROP MEDICINE,EDUCATION,2016,1050465
LONDON SCH OF HYGIENE AND TROP MEDICINE,EDUCATION,2017,1711673
LONDON SCH OF HYGIENE AND TROP MEDICINE,EDUCATION,2018,2825922
LONDON SCH OF HYGIENE AND TROP MEDICINE,RESEARCH,2013,4916325
LONDON SCH OF HYGIENE AND TROP MEDICINE,RESEARCH,2014,5392998
LONDON SCH OF HYGIENE AND TROP MEDICINE,RESEARCH,2015,4356913
LONDON SCH OF HYGIENE AND TROP MEDICINE,RESEARCH,2016,14317082
LONDON SCH OF HYGIENE AND TROP MEDICINE,RESEARCH,2017,21414721
LONDON SCH OF HYGIENE AND TROP MEDICINE,RESEARCH,2018,24901416
LONDON SCH OF HYGIENE AND TROP MEDICINE,RESEARCH,2018,107034
LONDON SCHOOL OF ECONOMICS & POL SCI,EDUCATION,2014,1044886
LONDON SCHOOL OF ECONOMICS & POL SCI,EDUCATION,2017,35866
LONDON SCHOOL OF ECONOMICS & POL SCI,EDUCATION,2018,1390329
LONDON SCHOOL OF ECONOMICS & POL SCI,RESEARCH,2013,11050384
LONDON SCHOOL OF ECONOMICS & POL SCI,RESEARCH,2014,4077240
LONDON SCHOOL OF ECONOMICS & POL SCI,RESEARCH,2015,9082340
LONDON SCHOOL OF ECONOMICS & POL SCI,RESEARCH,2016,2706636
LONDON SCHOOL OF ECONOMICS & POL SCI,RESEARCH,2017,16574342
LONDON SCHOOL OF ECONOMICS & POL SCI,RESEARCH,2018,7978660
LONDON SCHOOL OF ECONOMICS & POL SCI,RESEARCH,2011,15316412
LONDON SCHOOL OF ECONOMICS & POL SCI,RESEARCH,2017,4731414
LONDON SOUTH BANK UNIVERSITY,BUSINESS,2017,75870
LONDON SOUTH BANK UNIVERSITY,BUSINESS,2018,101666
LONDON SOUTH BANK UNIVERSITY,RESEARCH,2017,713384
LONDON SOUTH BANK UNIVERSITY,RESEARCH,2013,68648
LONZA BIOLOGICS PLC,RESEARCH,2016,465314
LOOP TECHNOLOGY LIMITED,RESEARCH,2018,937565
LOOWATT LTD,RESEARCH,2017,268333
LOUGHBOROUGH COLLEGE LOUGHBOROUGH,BUSINESS,2015,10804816
LOUGHBOROUGH COLLEGE LOUGHBOROUGH,BUSINESS,2015,140219
LOUGHBOROUGH UNIVERSITY,EDUCATION,2013,1294482
LOUGHBOROUGH UNIVERSITY,EDUCATION,2014,1224535
LOUGHBOROUGH UNIVERSITY,EDUCATION,2017,1128306
LOUGHBOROUGH UNIVERSITY,EDUCATION,2018,1534914
LOUGHBOROUGH UNIVERSITY,BUSINESS,2015,63098
LOUGHBOROUGH UNIVERSITY,BUSINESS,2017,383418
LOUGHBOROUGH UNIVERSITY,BUSINESS,2018,406407
LOUGHBOROUGH UNIVERSITY,RESEARCH,2012,1547189
LOUGHBOROUGH UNIVERSITY,RESEARCH,2013,3407752
LOUGHBOROUGH UNIVERSITY,RESEARCH,2014,3803718
LOUGHBOROUGH UNIVERSITY,RESEARCH,2015,4729909
LOUGHBOROUGH UNIVERSITY,RESEARCH,2016,16281263
LOUGHBOROUGH UNIVERSITY,RESEARCH,2017,8859914
LOUGHBOROUGH UNIVERSITY,RESEARCH,2018,5302306
LOUGHBOROUGH UNIVERSITY,RESEARCH,2013,274592
LOUGHBOROUGH UNIVERSITY,RESEARCH,2014,7446944
LOUGHBOROUGH UNIVERSITY,RESEARCH,2015,1077567
LOUGHBOROUGH UNIVERSITY,RESEARCH,2016,3876064
LOUGHBOROUGH UNIVERSITY,RESEARCH,2017,1132625
LOUGHBOROUGH UNIVERSITY,RESEARCH,2018,3994354
LOW GILLERTHWAITE FIELD CENTRE,RESEARCH,2015,10000
LOXHAM PRECISION LIMITED,RESEARCH,2017,157590
LUCID GROUP LIMITED,RESEARCH,2018,726363
LUCIDEON LIMITED,RESEARCH,2018,365503
LUCIDEON LIMITED,RESEARCH,2018,54486
LUCIDEON LIMITED,RESEARCH,2018,152786
LUCITE INTERNATIONAL UK LIMITED,RESEARCH,2018,1070675
LUCOZADE RIBENA SUNTORY LIMITED,RESEARCH,2017,583097
LUCOZADE RIBENA SUNTORY LIMITED,RESEARCH,2015,450473
LUJAM SECURITY LTD,RESEARCH,2017,250000
LUMENISITY LIMITED,RESEARCH,2018,510703
LURTIS LIMITED,RESEARCH,2018,64353
LUSSTECH LIMITED,RESEARCH,2018,972982
LUULATECH LTD,RESEARCH,2018,70000
LUX-TSI LIMITED,RESEARCH,2017,608875
LYRA ELECTRONICS LIMITED,RESEARCH,2018,1328205
M-KOPA UK LIMITED,RESEARCH,2018,389865
M-SQUARED LASERS LIMITED,RESEARCH,2017,897938
M-SQUARED LASERS LIMITED,RESEARCH,2018,1137637
M-SQUARED LASERS LIMITED,EDUCATION,2016,255134
M-SQUARED LASERS LIMITED,RESEARCH,2017,140354
M. WRIGHT & SONS LIMITED,RESEARCH,2018,169751
MACDERMID AUTOTYPE LIMITED,RESEARCH,2017,234476
MACHINE TOOL TECHNOLOGIES LIMITED,RESEARCH,2017,783551
MACHINE TOOL TECHNOLOGIES LIMITED,RESEARCH,2018,77690
MACHINES WITH VISION LIMITED,RESEARCH,2018,544433
MACUSOFT LTD,RESEARCH,2017,343241
MAGMA GLOBAL LIMITED,RESEARCH,2015,2999905
MAGNA PARVA LIMITED,RESEARCH,2017,65961
MAGNETIC SYSTEMS TECHNOLOGY LIMITED,RESEARCH,2018,1729909
MAGNOMATICS LIMITED,RESEARCH,2016,1950640
MAGNOMATICS LIMITED,RESEARCH,2017,1218820
MAGNOMATICS LIMITED,EDUCATION,2016,262073
MAGWAY LIMITED,RESEARCH,2018,468562
MAHER LIMITED,RESEARCH,2017,681652
MAKERERE UNIVERSITY,RESEARCH,2018,202322
MALVERN INSTRUMENTS LIMITED,RESEARCH,2017,598350
MANCHESTER CITY COUNCIL,RESEARCH,2016,9781984
MANCHESTER METROPOLITAN UNIVERSITY,RESEARCH,2018,339232
MANCHESTER METROPOLITAN UNIVERSITY,EDUCATION,2016,248545
MANCHESTER METROPOLITAN UNIVERSITY,EDUCATION,2018,99777
MANCHESTER METROPOLITAN UNIVERSITY,BUSINESS,2016,301650
MANCHESTER METROPOLITAN UNIVERSITY,BUSINESS,2017,945293
MANCHESTER METROPOLITAN UNIVERSITY,BUSINESS,2018,1321759
MANCHESTER METROPOLITAN UNIVERSITY,RESEARCH,2015,826915
MANCHESTER METROPOLITAN UNIVERSITY,RESEARCH,2017,702720
MANCHESTER METROPOLITAN UNIVERSITY,RESEARCH,2018,1830879
MANCHESTER METROPOLITAN UNIVERSITY,RESEARCH,2018,90000
MANROCHEM LIMITED,RESEARCH,2018,1006479
MAP IP HOLDING LIMITED,RESEARCH,2018,342672
MAPMYHEALTH LIMITED,RESEARCH,2018,24909
MARINE BIOLOGICAL ASSOCIATION,EDUCATION,2014,501935
MARINE BIOLOGICAL ASSOCIATION,RESEARCH,2015,1048926
MARINE BIOLOGICAL ASSOCIATION,RESEARCH,2016,565811
MARINE BIOLOGICAL ASSOCIATION,RESEARCH,2017,272436
MARINE BIOLOGICAL ASSOCIATION,RESEARCH,2018,815847
MARINE HARVEST (SCOTLAND) LIMITED,RESEARCH,2014,770399
MARITIME AND COASTGUARD AGENCY,RESEARCH,2018,1000028
MARLOW FOODS LIMITED,RESEARCH,2015,355611
MARLOW FOODS LIMITED,RESEARCH,2016,265639
MARLOW FOODS LIMITED,RESEARCH,2017,313700
MARMELO LIMITED,RESEARCH,2018,43541
MARS CHOCOLATE UK LIMITED,RESEARCH,2014,369990
MARTEC OF WHITWELL LIMITED,RESEARCH,2018,454819
MASSTOCK ARABLE (UK) LIMITED,RESEARCH,2014,209422
MATERIALS PROCESSING INSTITUTE,RESEARCH,2018,358094
MATIVISION LIMITED,RESEARCH,2018,41374
MATORTHO LIMITED,RESEARCH,2016,615709
MATRIX MOULDING SYSTEMS LTD,RESEARCH,2017,445782
MATSURF LTD,RESEARCH,2017,316698
MATTER ARCHITECTURE LTD,RESEARCH,2018,76201
MCLAREN AUTOMOTIVE LIMITED,RESEARCH,2016,14036797
MCLAREN AUTOMOTIVE LIMITED,RESEARCH,2018,1377565
MCMASTER UNIVERSITY,RESEARCH,2016,3039499
MCT REMAN LIMITED,RESEARCH,2017,71968
MEANTIME INFORMATION TECHNOLOGIES LTD,RESEARCH,2018,233021
MEDAPHOR LIMITED,RESEARCH,2018,465943
MEDHERANT LIMITED,RESEARCH,2018,53626
MEDIA RESEARCH PARTNERS LIMITED,RESEARCH,2018,276085
MEDIAGAMMA LIMITED,RESEARCH,2018,158423
MEDIBORD LIMITED,RESEARCH,2017,117619
MEDICAL DATA SOLUTIONS AND SERVICES LTD,RESEARCH,2018,680770
MEDICAL WIRELESS SENSING LTD,RESEARCH,2017,1600264
MEDICAL WIRELESS SENSING LTD,RESEARCH,2018,705131
MEDICINES AND HEALTHCARE PRODUCTS REGULATORY AGENCY,RESEARCH,2018,740442
MEDICINES DISCOVERY CATAPULT LIMITED,RESEARCH,2016,22176222
MEDICINES DISCOVERY CATAPULT LIMITED,RESEARCH,2018,55491000
MEGGITT AEROSPACE LIMITED,BUSINESS,2015,2494848
MEGGITT AEROSPACE LIMITED,BUSINESS,2017,3729357
MEGGITT AEROSPACE LIMITED,RESEARCH,2016,561993
MEMBRANOLOGY LIMITED,RESEARCH,2016,435258
MENDELIAN LTD,RESEARCH,2018,533878
MENISCUS SYSTEMS LTD.,RESEARCH,2018,106910
MESH-NET LTD,RESEARCH,2018,97201
MET OFFICE,RESEARCH,2015,2246952
MET OFFICE,RESEARCH,2016,338647
METAIL LIMITED,RESEARCH,2018,103479
METHERA GLOBAL COMMUNICATIONS LIMITED,RESEARCH,2017,704207
METIS AEROSPACE LTD,RESEARCH,2017,231926
METRION BIOSCIENCES LTD,RESEARCH,2018,585927
METROSOL LIMITED,RESEARCH,2017,237297
MEYOUANDUS LTD,BUSINESS,2018,343000
MFATECH LIMITED,RESEARCH,2016,86911
MGB BIOPHARMA LIMITED,RESEARCH,2018,2780761
MIALGAE LTD,RESEARCH,2018,69766
MICREGEN LTD,RESEARCH,2018,373680
MICRIMA LIMITED,RESEARCH,2017,626996
MICRIMA LIMITED,RESEARCH,2018,1683924
MICRO MATERIALS LIMITED,RESEARCH,2018,250386
MICROBIOSENSOR LIMITED,RESEARCH,2017,688316
MICROMIX PLANT HEALTH LIMITED,RESEARCH,2018,580906
MICROPHARM LIMITED,RESEARCH,2017,451323
MICROPORTS.NET LIMITED,RESEARCH,2017,645145
MICROPROPAGATION SERVICES (E.M.) LIMITED,RESEARCH,2018,145839
MICROSEMI SEMICONDUCTOR LIMITED,RESEARCH,2016,793574
MIDDLESEX UNIVERSITY,BUSINESS,2015,107276
MIDDLESEX UNIVERSITY,RESEARCH,2015,26412
MIDDLESEX UNIVERSITY,RESEARCH,2016,199601
MIDDLESEX UNIVERSITY,RESEARCH,2017,456453
MIDDLESEX UNIVERSITY,RESEARCH,2018,452141
MIKOTA LTD,RESEARCH,2018,102241
MILKALYSER LIMITED,RESEARCH,2017,508292
MILLBROOK PROVING GROUND LIMITED,RESEARCH,2018,6942794
MILNE RESEARCH LIMITED,RESEARCH,2017,582000
MIMITEC LTD,RESEARCH,2018,37915
MINA ALPHA LIMITED,RESEARCH,2017,392456
MIOTIFY LTD,RESEARCH,2017,555071
MIRA REHAB LIMITED,RESEARCH,2016,821707
MIRALIS DATA LIMITED,RESEARCH,2018,116707
MIRICO LTD.,EDUCATION,2017,272872
MIRONID LIMITED,RESEARCH,2018,135066
MIRRIAD ADVERTISING PLC,EDUCATION,2017,297640
MIXERGY LIMITED,RESEARCH,2018,104057
MM (UK) LIMITED,RESEARCH,2017,370322
MMT TEXTILES LIMITED,RESEARCH,2018,58704
MO DESIGN & ENGINEERING LTD,RESEARCH,2018,69823
MOBIBIZ LTD,RESEARCH,2018,1051617
MODAL LIMITED,RESEARCH,2018,69749
MODELLING ENGINEERING & DEVELOPMENT COMPANY LIMITED,RESEARCH,2017,60247
MODERN BAKER LTD,RESEARCH,2016,519684
MODERN BAKER LTD,RESEARCH,2017,78842
MODERN BAKER LTD,RESEARCH,2018,157279
MODULAR TIDE GENERATORS LIMITED,RESEARCH,2017,863668
MODUS SEABED INTERVENTION LIMITED,RESEARCH,2017,301377
MOF TECHNOLOGIES LIMITED,RESEARCH,2018,140181
MOLOGIC LTD.,RESEARCH,2017,1440157
MOLOGIC LTD.,BUSINESS,2017,2000000
MOLOGIC LTD.,BUSINESS,2018,1642392
MOM INCUBATORS LTD.,RESEARCH,2018,312724
MONAGHAN MUSHROOMS LIMITED,RESEARCH,2015,899828
MONASH UNIVERSITY,RESEARCH,2016,572984
MONITION LIMITED,RESEARCH,2018,1192233
MONITION LIMITED,RESEARCH,2017,203622
MONITOR COATINGS LIMITED,RESEARCH,2017,148196
MOORFIELDS EYE HOSP NHS FOUNDATION TRUST,RESEARCH,2017,6336970
MOREDUN RESEARCH INSTITUTE,RESEARCH,2017,452265
MOREDUN RESEARCH INSTITUTE,RESEARCH,2018,1150194
MOREDUN SCIENTIFIC LIMITED,RESEARCH,2018,289747
MORGAN INNOVATION & TECHNOLOGY LTD,RESEARCH,2018,139947
MOTE RESEARCH LIMITED,RESEARCH,2017,102420
MOTION ROBOTICS LIMITED,RESEARCH,2017,667192
MOTION ROBOTICS LIMITED,RESEARCH,2018,69709
MOY PARK LIMITED,RESEARCH,2016,390752
MR SOLUTIONS LIMITED,RESEARCH,2018,159818
MRC LABORATORY OF MOLECULAR BIOLOGY,EDUCATION,2017,740998
MRC LABORATORY OF MOLECULAR BIOLOGY,RESEARCH,2014,339104
MRC LABORATORY OF MOLECULAR BIOLOGY,RESEARCH,2016,388596
MRC LABORATORY OF MOLECULAR BIOLOGY,RESEARCH,2017,775411
MRC LABORATORY OF MOLECULAR BIOLOGY,RESEARCH,2018,428885
MRC LONDON INSTITUTE OF MEDICAL SCIENCES,EDUCATION,2017,138098
MRC MAMMALIAN GENETICS UNIT,RESEARCH,2017,2781252
"MRC UNIT, THE GAMBIA",RESEARCH,2015,1686424
"MRC UNIT, THE GAMBIA",RESEARCH,2017,7644280
"MRC UNIT, THE GAMBIA",RESEARCH,2018,2652474
MRC/UVRI UGANDA RESEARCH UNIT ON AIDS,RESEARCH,2014,2861765
MULLER UK & IRELAND LLP,RESEARCH,2015,614809
MUSHROOM MACHINE COMPANY LIMITED,RESEARCH,2018,69994
MY MHEALTH LIMITED,RESEARCH,2018,112314
MYRTLE SOFTWARE LIMITED,RESEARCH,2018,383207
MYWAY DIGITAL HEALTH LIMITED,RESEARCH,2018,768104
N.D.T. CONSULTANTS LIMITED,RESEARCH,2018,1644900
N.D.T. CONSULTANTS LIMITED,RESEARCH,2017,756931
NANNA THERAPEUTICS LIMITED,RESEARCH,2017,917760
NANO PRODUCTS LIMITED,RESEARCH,2017,460580
NANOCO TECHNOLOGIES LIMITED,RESEARCH,2018,60000
NANOCO TECHNOLOGIES LIMITED,RESEARCH,2017,830128
NANOFLEX LIMITED,RESEARCH,2018,340865
NANOPTIMA LIMITED,RESEARCH,2018,128003
NAT INST FOR BIO STANDARDS AND CONTROL,RESEARCH,2018,2097761
NATIONAL AIR QUALITY TESTING SERVICES LTD,RESEARCH,2018,334100
NATIONAL CENTRE FOR EARTH OBSERVATION,OTHER GRANT,2014,15135518
NATIONAL CENTRE FOR SOCIAL RESEARCH,RESEARCH,2016,153033
NATIONAL CENTRE FOR SOCIAL RESEARCH,RESEARCH,2017,403919
NATIONAL CENTRE FOR SOCIAL RESEARCH,RESEARCH,2018,998384
NATIONAL ELF SERVICE LIMITED,RESEARCH,2018,33180
NATIONAL FILM AND TELEVISION SCHOOL,RESEARCH,2018,4826150
"NATIONAL INFECTION SERVICE, PUBLIC HEALTH ENGLAND",RESEARCH,2018,2000000
NATIONAL INST OF AGRICULTURAL BOTANY,RESEARCH,2013,753363
NATIONAL INST OF AGRICULTURAL BOTANY,RESEARCH,2014,24331
NATIONAL INST OF AGRICULTURAL BOTANY,RESEARCH,2015,1391963
NATIONAL INST OF AGRICULTURAL BOTANY,RESEARCH,2016,5071948
NATIONAL INST OF AGRICULTURAL BOTANY,RESEARCH,2017,3405685
NATIONAL INST OF AGRICULTURAL BOTANY,RESEARCH,2018,6388752
NATIONAL INST OF AGRICULTURAL BOTANY,RESEARCH,2016,96696
NATIONAL INST OF AGRICULTURAL BOTANY,RESEARCH,2017,491060
NATIONAL INST OF AGRICULTURAL BOTANY,RESEARCH,2018,495170
NATIONAL INSTITUTE FOR BIOLOGICAL STANDARDS AND CONTROL,RESEARCH,2018,1999053
NATIONAL INSTITUTE OF ECONOMIC & SOC RES,RESEARCH,2016,158532
NATIONAL INSTITUTE OF ECONOMIC & SOC RES,RESEARCH,2017,3835350
NATIONAL INSTITUTE OF ECONOMIC & SOC RES,RESEARCH,2018,8443
NATIONAL MUSEUMS OF SCOTLAND,RESEARCH,2016,33378
NATIONAL MUSEUMS OF SCOTLAND,RESEARCH,2017,390294
NATIONAL MUSEUMS OF SCOTLAND,RESEARCH,2018,33698
NATIONAL NUCLEAR LABORATORY LIMITED,RESEARCH,2018,155727
NATIONAL NUCLEAR LABORATORY LIMITED,RESEARCH,2017,103618
NATIONAL OCEANOGRAPHY CENTRE,EDUCATION,2015,499259
NATIONAL OCEANOGRAPHY CENTRE,EDUCATION,2016,236543
NATIONAL OCEANOGRAPHY CENTRE,EDUCATION,2018,708844
NATIONAL OCEANOGRAPHY CENTRE,RESEARCH,2012,688361
NATIONAL OCEANOGRAPHY CENTRE,RESEARCH,2013,2188096
NATIONAL OCEANOGRAPHY CENTRE,RESEARCH,2014,1348595
NATIONAL OCEANOGRAPHY CENTRE,RESEARCH,2015,2246346
NATIONAL OCEANOGRAPHY CENTRE,RESEARCH,2016,10880175
NATIONAL OCEANOGRAPHY CENTRE,RESEARCH,2017,17196471
NATIONAL OCEANOGRAPHY CENTRE,RESEARCH,2018,33484340
NATIONAL OCEANOGRAPHY CENTRE,RESEARCH,2011,362031
NATIONAL UNIVERSITY OF SINGAPORE,RESEARCH,2015,2184691
NATURAL RESOURCES (2000) LIMITED,RESEARCH,2018,69508
NATURE METRICS LTD,RESEARCH,2017,69973
NATURIOL BANGOR LTD,RESEARCH,2015,700618
NAVENIO LIMITED,RESEARCH,2018,560741
NCAM TECHNOLOGIES LIMITED,RESEARCH,2017,603780
NCAM TECHNOLOGIES LIMITED,EDUCATION,2018,321027
NCC OPERATIONS LIMITED,BUSINESS,2017,9839401
NCC OPERATIONS LIMITED,RESEARCH,2017,12139633
NCC OPERATIONS LIMITED,RESEARCH,2018,6289421
NEDRA LIMITED,RESEARCH,2018,244377
NEMEIN LTD,RESEARCH,2018,198815
NEOS VENTURES LIMITED,RESEARCH,2018,258347
NEPTEC UK LIMITED,RESEARCH,2017,189244
NERC BRITISH ANTARCTIC SURVEY,EDUCATION,2014,587936
NERC BRITISH ANTARCTIC SURVEY,EDUCATION,2018,658645
NERC BRITISH ANTARCTIC SURVEY,RESEARCH,2012,69117
NERC BRITISH ANTARCTIC SURVEY,RESEARCH,2013,2313291
NERC BRITISH ANTARCTIC SURVEY,RESEARCH,2014,1453056
NERC BRITISH ANTARCTIC SURVEY,RESEARCH,2015,3524265
NERC BRITISH ANTARCTIC SURVEY,RESEARCH,2016,12440156
NERC BRITISH ANTARCTIC SURVEY,RESEARCH,2017,4708756
NERC BRITISH ANTARCTIC SURVEY,RESEARCH,2018,9092428
NERC BRITISH GEOLOGICAL SURVEY,EDUCATION,2013,253906
NERC BRITISH GEOLOGICAL SURVEY,EDUCATION,2015,314270
NERC BRITISH GEOLOGICAL SURVEY,EDUCATION,2016,232192
