,Value,Year,ProviderType,Purpose
328,1029656.0,2012,COMPANY,EDUCATION
329,104475.0,2012,COLLEGE,EDUCATION
330,1498940.0,2012,COLLEGE,EDUCATION
331,9683908.0,2012,COLLEGE,EDUCATION
332,116933.0,2012,COMPANY,EDUCATION
333,118589.0,2012,COMPANY,EDUCATION
334,440351.0,2012,COMPANY,EDUCATION
335,1059872.0,2012,COMPANY,EDUCATION
336,541653.0,2012,COMPANY,EDUCATION
337,902238.0,2012,COMPANY,EDUCATION
338,56217.0,2012,COLLEGE,EDUCATION
339,221715.0,2012,COLLEGE,EDUCATION
340,947413.0,2012,COLLEGE,EDUCATION
341,10881630.0,2012,COMPANY,EDUCATION
342,22423813.0,2012,COMPANY,EDUCATION
343,222868.0,2012,COMPANY,EDUCATION
344,592194.0,2012,COMPANY,EDUCATION
345,127341.0,2012,COMPANY,EDUCATION
346,166715.0,2012,COMPANY,EDUCATION
347,113320.0,2012,COLLEGE,EDUCATION
348,19252766.0,2012,COLLEGE,EDUCATION
349,1150979.0,2012,COLLEGE,EDUCATION
350,4265312.0,2012,COLLEGE,EDUCATION
351,255471.0,2012,COLLEGE,EDUCATION
352,688791.0,2012,COLLEGE,EDUCATION
353,5816440.0,2012,COLLEGE,EDUCATION
354,894949.0,2012,COLLEGE,EDUCATION
355,4524223.0,2012,COLLEGE,EDUCATION
356,134519.0,2012,COLLEGE,EDUCATION
357,2176816.0,2012,COLLEGE,EDUCATION
358,7128076.0,2012,COLLEGE,EDUCATION
359,259677.0,2012,COMPANY,EDUCATION
360,597590.0,2012,COMPANY,EDUCATION
361,327103.0,2012,COLLEGE,EDUCATION
362,471759.0,2012,COLLEGE,EDUCATION
363,3320345.0,2012,COLLEGE,EDUCATION
364,480855.0,2012,COLLEGE,EDUCATION
365,3996112.0,2012,COLLEGE,EDUCATION
366,15184576.0,2012,COLLEGE,EDUCATION
367,202599.0,2012,COLLEGE,EDUCATION
368,689015.0,2012,COLLEGE,EDUCATION
369,10706093.0,2012,COLLEGE,EDUCATION
370,256026.0,2012,COLLEGE,EDUCATION
371,9430698.0,2012,COLLEGE,EDUCATION
372,228380.0,2012,COLLEGE,EDUCATION
373,1604702.0,2012,COLLEGE,EDUCATION
374,10453543.0,2012,COLLEGE,EDUCATION
375,109522.0,2012,COMPANY,EDUCATION
376,547041.0,2012,COMPANY,EDUCATION
377,644674.0,2012,COMPANY,EDUCATION
378,281157.0,2012,COMPANY,EDUCATION
379,299464.0,2012,COMPANY,EDUCATION
380,27442.0,2012,COLLEGE,EDUCATION
381,504747.0,2012,COLLEGE,EDUCATION
382,43085.0,2012,COMPANY,EDUCATION
383,308512.0,2012,COMPANY,EDUCATION
384,58230.0,2012,COMPANY,EDUCATION
385,2286869.0,2012,COMPANY,EDUCATION
386,6001572.0,2012,COMPANY,EDUCATION
387,361556.0,2012,COLLEGE,EDUCATION
388,15515117.0,2012,COLLEGE,EDUCATION
389,22336.0,2012,COLLEGE,EDUCATION
390,143227.0,2012,COLLEGE,EDUCATION
391,131519.0,2012,COLLEGE,EDUCATION
392,1573064.0,2012,COLLEGE,EDUCATION
393,7283742.0,2012,COLLEGE,EDUCATION
394,176342.0,2012,COMPANY,EDUCATION
395,234298.0,2012,COMPANY,EDUCATION
396,427891.0,2012,COMPANY,EDUCATION
397,13893.0,2012,COMPANY,EDUCATION
398,415806.0,2012,COMPANY,EDUCATION
399,2754479.0,2012,COMPANY,EDUCATION
400,62829.0,2012,COMPANY,EDUCATION
401,967394.0,2012,COMPANY,EDUCATION
402,181995.0,2012,COMPANY,EDUCATION
403,673887.0,2012,COMPANY,EDUCATION
404,216055.0,2012,COMPANY,EDUCATION
405,297221.0,2012,COMPANY,EDUCATION
406,128224.0,2012,COMPANY,EDUCATION
407,374884.0,2012,COMPANY,EDUCATION
408,86118.0,2012,COMPANY,EDUCATION
409,392802.0,2012,COLLEGE,EDUCATION
410,3309276.0,2012,COLLEGE,EDUCATION
411,11971253.0,2012,COLLEGE,EDUCATION
412,95025.0,2012,COLLEGE,EDUCATION
413,21952.0,2012,COMPANY,EDUCATION
414,87749.0,2012,COMPANY,EDUCATION
415,1173795.0,2012,COMPANY,EDUCATION
416,1530274.0,2012,COMPANY,EDUCATION
417,2805995.0,2012,COMPANY,EDUCATION
418,3533279.0,2012,COMPANY,EDUCATION
419,23764.0,2012,UNIVERSITY,EDUCATION
420,27212.0,2012,UNIVERSITY,EDUCATION
421,548188.0,2012,COMPANY,EDUCATION
422,722654.0,2012,COMPANY,EDUCATION
423,75298.0,2012,COLLEGE,EDUCATION
424,1319955.0,2012,COLLEGE,EDUCATION
425,3500376.0,2012,COLLEGE,EDUCATION
426,13224.0,2012,COMPANY,EDUCATION
427,38666.0,2012,COMPANY,EDUCATION
428,597195.0,2012,COLLEGE,EDUCATION
429,8625967.0,2012,COLLEGE,EDUCATION
430,1453714.0,2012,COMPANY,EDUCATION
431,3925586.0,2012,COMPANY,EDUCATION
432,41513.0,2012,COMPANY,EDUCATION
433,1889961.0,2012,COMPANY,EDUCATION
434,173117.0,2012,COMPANY,EDUCATION
435,252868.0,2012,COMPANY,EDUCATION
436,2423.0,2012,COMPANY,EDUCATION
437,1094027.0,2012,COMPANY,EDUCATION
438,1506966.0,2012,COMPANY,EDUCATION
439,19990.0,2012,COMPANY,EDUCATION
440,155807.0,2012,COMPANY,EDUCATION
441,118007.0,2012,COMPANY,EDUCATION
442,329204.0,2012,COMPANY,EDUCATION
443,360443.0,2012,COMPANY,EDUCATION
444,465579.0,2012,COMPANY,EDUCATION
445,119266.0,2012,COMPANY,EDUCATION
446,151877.0,2012,COMPANY,EDUCATION
447,692891.0,2012,COMPANY,EDUCATION
448,783669.0,2012,COMPANY,EDUCATION
449,188003.0,2012,COMPANY,EDUCATION
450,211168.0,2012,COMPANY,EDUCATION
451,273601.0,2012,COMPANY,EDUCATION
452,55693.0,2012,COLLEGE,EDUCATION
453,1718172.0,2012,COLLEGE,EDUCATION
454,7273805.0,2012,COLLEGE,EDUCATION
455,419149.0,2012,COMPANY,EDUCATION
456,555136.0,2012,COMPANY,EDUCATION
457,185839.0,2012,COMPANY,EDUCATION
458,849506.0,2012,COMPANY,EDUCATION
459,216933.0,2012,COMPANY,EDUCATION
460,1065558.0,2012,COMPANY,EDUCATION
461,151527.0,2012,UNIVERSITY,EDUCATION
462,40158.0,2012,COLLEGE,EDUCATION
463,289702.0,2012,COLLEGE,EDUCATION
464,1541214.0,2012,COLLEGE,EDUCATION
465,5135.0,2012,COMPANY,EDUCATION
