LeadROName,ProjectCategory,year,AwardPounds,ProviderType
UNIVERSITY OF BIRMINGHAM,EDUCATION,2017,3431300,UNIVERSITY
UNIVERSITY OF BIRMINGHAM,EDUCATION,2018,5365089,UNIVERSITY
UNIVERSITY OF BIRMINGHAM,BUSINESS,2013,140446,UNIVERSITY
UNIVERSITY OF BIRMINGHAM,BUSINESS,2016,126301,UNIVERSITY
UNIVERSITY OF BIRMINGHAM,BUSINESS,2018,140371,UNIVERSITY
UNIVERSITY OF BIRMINGHAM,RESEARCH,2013,5536918,UNIVERSITY
UNIVERSITY OF BIRMINGHAM,RESEARCH,2014,41130453,UNIVERSITY
UNIVERSITY OF BIRMINGHAM,RESEARCH,2015,16543633,UNIVERSITY
UNIVERSITY OF BIRMINGHAM,RESEARCH,2016,34927483,UNIVERSITY
UNIVERSITY OF BIRMINGHAM,RESEARCH,2017,65158772,UNIVERSITY
UNIVERSITY OF BIRMINGHAM,RESEARCH,2018,36925530,UNIVERSITY
UNIVERSITY OF BIRMINGHAM,RESEARCH,2011,6229576,UNIVERSITY
UNIVERSITY OF BIRMINGHAM,RESEARCH,2014,20312029,UNIVERSITY
UNIVERSITY OF BIRMINGHAM,RESEARCH,2015,3839890,UNIVERSITY
UNIVERSITY OF BIRMINGHAM,RESEARCH,2016,6178485,UNIVERSITY
UNIVERSITY OF BIRMINGHAM,RESEARCH,2017,3008422,UNIVERSITY
UNIVERSITY OF BIRMINGHAM,RESEARCH,2018,7345188,UNIVERSITY
UNIVERSITY OF BRADFORD,RESEARCH,2013,1854691,UNIVERSITY
UNIVERSITY OF BRADFORD,RESEARCH,2014,3419000,UNIVERSITY
UNIVERSITY OF BRADFORD,RESEARCH,2015,904805,UNIVERSITY
UNIVERSITY OF BRADFORD,RESEARCH,2016,1451610,UNIVERSITY
UNIVERSITY OF BRADFORD,RESEARCH,2017,121886,UNIVERSITY
UNIVERSITY OF BRADFORD,RESEARCH,2018,1806169,UNIVERSITY
UNIVERSITY OF BRADFORD(THE),BUSINESS,2017,271309,UNIVERSITY
UNIVERSITY OF BRADFORD(THE),BUSINESS,2018,251644,UNIVERSITY
UNIVERSITY OF BRIGHTON,RESEARCH,2018,99344,UNIVERSITY
UNIVERSITY OF BRIGHTON,EDUCATION,2018,449994,UNIVERSITY
UNIVERSITY OF BRIGHTON,BUSINESS,2017,344081,UNIVERSITY
UNIVERSITY OF BRIGHTON,BUSINESS,2018,372445,UNIVERSITY
UNIVERSITY OF BRIGHTON,OTHER GRANT,2017,146701,UNIVERSITY
UNIVERSITY OF BRIGHTON,RESEARCH,2015,2284840,UNIVERSITY
UNIVERSITY OF BRIGHTON,RESEARCH,2017,1138133,UNIVERSITY
UNIVERSITY OF BRIGHTON,RESEARCH,2018,331941,UNIVERSITY
UNIVERSITY OF BRIGHTON,RESEARCH,2016,508694,UNIVERSITY
UNIVERSITY OF BRIGHTON,RESEARCH,2017,105997,UNIVERSITY
UNIVERSITY OF BRIGHTON,RESEARCH,2018,250260,UNIVERSITY
UNIVERSITY OF BRISTOL,EDUCATION,2013,4792558,UNIVERSITY
UNIVERSITY OF BRISTOL,EDUCATION,2014,2521245,UNIVERSITY
UNIVERSITY OF BRISTOL,EDUCATION,2015,11181517,UNIVERSITY
UNIVERSITY OF BRISTOL,EDUCATION,2016,3657409,UNIVERSITY
UNIVERSITY OF BRISTOL,EDUCATION,2017,4788276,UNIVERSITY
UNIVERSITY OF BRISTOL,EDUCATION,2018,4400415,UNIVERSITY
UNIVERSITY OF BRISTOL,BUSINESS,2017,99127,UNIVERSITY
UNIVERSITY OF BRISTOL,RESEARCH,2012,1799405,UNIVERSITY
UNIVERSITY OF BRISTOL,RESEARCH,2013,26543579,UNIVERSITY
UNIVERSITY OF BRISTOL,RESEARCH,2014,39408160,UNIVERSITY
UNIVERSITY OF BRISTOL,RESEARCH,2015,23986283,UNIVERSITY
UNIVERSITY OF BRISTOL,RESEARCH,2016,39442154,UNIVERSITY
UNIVERSITY OF BRISTOL,RESEARCH,2017,54434339,UNIVERSITY
UNIVERSITY OF BRISTOL,RESEARCH,2018,53913828,UNIVERSITY
UNIVERSITY OF BRISTOL,RESEARCH,2011,19526054,UNIVERSITY
UNIVERSITY OF BRISTOL,RESEARCH,2012,3926971,UNIVERSITY
UNIVERSITY OF BRISTOL,RESEARCH,2014,37147090,UNIVERSITY
UNIVERSITY OF BRISTOL,RESEARCH,2015,13387433,UNIVERSITY
UNIVERSITY OF BRISTOL,RESEARCH,2016,17631298,UNIVERSITY
UNIVERSITY OF BRISTOL,RESEARCH,2017,11519690,UNIVERSITY
UNIVERSITY OF BRISTOL,RESEARCH,2018,9753618,UNIVERSITY
"UNIVERSITY OF CALIFORNIA, BERKELEY",RESEARCH,2015,286943,UNIVERSITY
UNIVERSITY OF CAMBRIDGE,RESEARCH,2016,2499395,UNIVERSITY
UNIVERSITY OF CAMBRIDGE,RESEARCH,2017,7626432,UNIVERSITY
UNIVERSITY OF CAMBRIDGE,RESEARCH,2018,1999926,UNIVERSITY
UNIVERSITY OF CAMBRIDGE,EDUCATION,2011,964685,UNIVERSITY
UNIVERSITY OF CAMBRIDGE,EDUCATION,2013,5431311,UNIVERSITY
UNIVERSITY OF CAMBRIDGE,EDUCATION,2014,7336899,UNIVERSITY
UNIVERSITY OF CAMBRIDGE,EDUCATION,2015,7535607,UNIVERSITY
UNIVERSITY OF CAMBRIDGE,EDUCATION,2016,8025754,UNIVERSITY
UNIVERSITY OF CAMBRIDGE,EDUCATION,2017,14762470,UNIVERSITY
UNIVERSITY OF CAMBRIDGE,EDUCATION,2018,12851016,UNIVERSITY
UNIVERSITY OF CAMBRIDGE,BUSINESS,2015,147626,UNIVERSITY
UNIVERSITY OF CAMBRIDGE,BUSINESS,2016,101539,UNIVERSITY
UNIVERSITY OF CAMBRIDGE,BUSINESS,2018,107623,UNIVERSITY
UNIVERSITY OF CAMBRIDGE,OTHER GRANT,2013,3074908,UNIVERSITY
UNIVERSITY OF CAMBRIDGE,OTHER GRANT,2016,318762,UNIVERSITY
UNIVERSITY OF CAMBRIDGE,OTHER GRANT,2017,335676,UNIVERSITY
UNIVERSITY OF CAMBRIDGE,OTHER GRANT,2018,129132,UNIVERSITY
UNIVERSITY OF CAMBRIDGE,RESEARCH,2013,37761532,UNIVERSITY
UNIVERSITY OF CAMBRIDGE,RESEARCH,2014,40901343,UNIVERSITY
UNIVERSITY OF CAMBRIDGE,RESEARCH,2015,52673527,UNIVERSITY
UNIVERSITY OF CAMBRIDGE,RESEARCH,2016,102207301,UNIVERSITY
UNIVERSITY OF CAMBRIDGE,RESEARCH,2017,81559759,UNIVERSITY
UNIVERSITY OF CAMBRIDGE,RESEARCH,2018,161225181,UNIVERSITY
UNIVERSITY OF CAMBRIDGE,RESEARCH,2011,9942953,UNIVERSITY
UNIVERSITY OF CAMBRIDGE,RESEARCH,2012,2566792,UNIVERSITY
UNIVERSITY OF CAMBRIDGE,RESEARCH,2013,1716200,UNIVERSITY
UNIVERSITY OF CAMBRIDGE,RESEARCH,2014,47263754,UNIVERSITY
UNIVERSITY OF CAMBRIDGE,RESEARCH,2015,30026936,UNIVERSITY
UNIVERSITY OF CAMBRIDGE,RESEARCH,2016,15304531,UNIVERSITY
UNIVERSITY OF CAMBRIDGE,RESEARCH,2017,8453938,UNIVERSITY
UNIVERSITY OF CAMBRIDGE,RESEARCH,2018,15705091,UNIVERSITY
UNIVERSITY OF CAPE TOWN,RESEARCH,2014,2006236,UNIVERSITY
UNIVERSITY OF CAPE TOWN,RESEARCH,2015,2999902,UNIVERSITY
UNIVERSITY OF CAPE TOWN,RESEARCH,2016,578055,UNIVERSITY
UNIVERSITY OF CAPE TOWN,RESEARCH,2018,597691,UNIVERSITY
UNIVERSITY OF CENTRAL LANCASHIRE,EDUCATION,2017,114174,UNIVERSITY
UNIVERSITY OF CENTRAL LANCASHIRE,BUSINESS,2017,60615,UNIVERSITY
UNIVERSITY OF CENTRAL LANCASHIRE,RESEARCH,2014,210458,UNIVERSITY
UNIVERSITY OF CENTRAL LANCASHIRE,RESEARCH,2016,190916,UNIVERSITY
UNIVERSITY OF CENTRAL LANCASHIRE,RESEARCH,2017,737764,UNIVERSITY
UNIVERSITY OF CENTRAL LANCASHIRE,RESEARCH,2018,2001891,UNIVERSITY
UNIVERSITY OF CENTRAL LANCASHIRE,RESEARCH,2015,361275,UNIVERSITY
UNIVERSITY OF CENTRAL LANCASHIRE,RESEARCH,2018,225203,UNIVERSITY
UNIVERSITY OF CHESTER,RESEARCH,2017,28974,UNIVERSITY
UNIVERSITY OF CHESTER,RESEARCH,2018,479926,UNIVERSITY
UNIVERSITY OF CHESTER,RESEARCH,2016,95042,UNIVERSITY
UNIVERSITY OF DAR ES SALAAM,RESEARCH,2015,61202,UNIVERSITY
UNIVERSITY OF DERBY,BUSINESS,2017,406163,UNIVERSITY
UNIVERSITY OF DERBY,BUSINESS,2018,94530,UNIVERSITY
UNIVERSITY OF DERBY,RESEARCH,2017,13823,UNIVERSITY
UNIVERSITY OF DERBY,RESEARCH,2018,76275,UNIVERSITY
UNIVERSITY OF DUNDEE,EDUCATION,2014,2451732,UNIVERSITY
UNIVERSITY OF DUNDEE,EDUCATION,2018,1264238,UNIVERSITY
UNIVERSITY OF DUNDEE,BUSINESS,2017,130822,UNIVERSITY
UNIVERSITY OF DUNDEE,BUSINESS,2018,209893,UNIVERSITY
UNIVERSITY OF DUNDEE,RESEARCH,2012,396996,UNIVERSITY
UNIVERSITY OF DUNDEE,RESEARCH,2013,4032595,UNIVERSITY
UNIVERSITY OF DUNDEE,RESEARCH,2014,2767133,UNIVERSITY
UNIVERSITY OF DUNDEE,RESEARCH,2015,3563438,UNIVERSITY
UNIVERSITY OF DUNDEE,RESEARCH,2016,10373334,UNIVERSITY
UNIVERSITY OF DUNDEE,RESEARCH,2017,9452383,UNIVERSITY
UNIVERSITY OF DUNDEE,RESEARCH,2018,8531642,UNIVERSITY
UNIVERSITY OF DUNDEE,RESEARCH,2015,884246,UNIVERSITY
UNIVERSITY OF DUNDEE,RESEARCH,2016,959695,UNIVERSITY
UNIVERSITY OF DUNDEE,RESEARCH,2017,180536,UNIVERSITY
UNIVERSITY OF DUNDEE,RESEARCH,2018,488042,UNIVERSITY
UNIVERSITY OF EAST ANGLIA,EDUCATION,2016,854341,UNIVERSITY
UNIVERSITY OF EAST ANGLIA,EDUCATION,2017,216725,UNIVERSITY
UNIVERSITY OF EAST ANGLIA,EDUCATION,2018,1250374,UNIVERSITY
UNIVERSITY OF EAST ANGLIA,BUSINESS,2018,82452,UNIVERSITY
UNIVERSITY OF EAST ANGLIA,RESEARCH,2011,1030549,UNIVERSITY
UNIVERSITY OF EAST ANGLIA,RESEARCH,2012,1361263,UNIVERSITY
UNIVERSITY OF EAST ANGLIA,RESEARCH,2014,1135712,UNIVERSITY
UNIVERSITY OF EAST ANGLIA,RESEARCH,2015,5087144,UNIVERSITY
UNIVERSITY OF EAST ANGLIA,RESEARCH,2016,7750617,UNIVERSITY
UNIVERSITY OF EAST ANGLIA,RESEARCH,2017,12480669,UNIVERSITY
UNIVERSITY OF EAST ANGLIA,RESEARCH,2018,12038020,UNIVERSITY
UNIVERSITY OF EAST ANGLIA,RESEARCH,2013,93520,UNIVERSITY
UNIVERSITY OF EAST ANGLIA,RESEARCH,2014,5673224,UNIVERSITY
UNIVERSITY OF EAST ANGLIA,RESEARCH,2015,838939,UNIVERSITY
UNIVERSITY OF EAST ANGLIA,RESEARCH,2017,196424,UNIVERSITY
UNIVERSITY OF EAST ANGLIA,RESEARCH,2018,183883,UNIVERSITY
UNIVERSITY OF EAST LONDON,BUSINESS,2018,247629,UNIVERSITY
UNIVERSITY OF EAST LONDON,RESEARCH,2016,148692,UNIVERSITY
UNIVERSITY OF EAST LONDON,RESEARCH,2018,73082,UNIVERSITY
UNIVERSITY OF EDINBURGH,EDUCATION,2012,2752383,UNIVERSITY
UNIVERSITY OF EDINBURGH,EDUCATION,2013,1118416,UNIVERSITY
UNIVERSITY OF EDINBURGH,EDUCATION,2014,3594392,UNIVERSITY
UNIVERSITY OF EDINBURGH,EDUCATION,2015,7092882,UNIVERSITY
UNIVERSITY OF EDINBURGH,EDUCATION,2016,8791054,UNIVERSITY
UNIVERSITY OF EDINBURGH,EDUCATION,2017,5866861,UNIVERSITY
UNIVERSITY OF EDINBURGH,EDUCATION,2018,17372027,UNIVERSITY
UNIVERSITY OF EDINBURGH,BUSINESS,2015,153327,UNIVERSITY
UNIVERSITY OF EDINBURGH,BUSINESS,2018,167502,UNIVERSITY
UNIVERSITY OF EDINBURGH,RESEARCH,2012,2197060,UNIVERSITY
UNIVERSITY OF EDINBURGH,RESEARCH,2013,38816091,UNIVERSITY
UNIVERSITY OF EDINBURGH,RESEARCH,2014,25069369,UNIVERSITY
UNIVERSITY OF EDINBURGH,RESEARCH,2015,36902180,UNIVERSITY
UNIVERSITY OF EDINBURGH,RESEARCH,2016,53103341,UNIVERSITY
UNIVERSITY OF EDINBURGH,RESEARCH,2017,46399315,UNIVERSITY
UNIVERSITY OF EDINBURGH,RESEARCH,2018,76832248,UNIVERSITY
UNIVERSITY OF EDINBURGH,RESEARCH,2011,33776988,UNIVERSITY
UNIVERSITY OF EDINBURGH,RESEARCH,2014,30783881,UNIVERSITY
UNIVERSITY OF EDINBURGH,RESEARCH,2015,13069752,UNIVERSITY
UNIVERSITY OF EDINBURGH,RESEARCH,2016,6542568,UNIVERSITY
UNIVERSITY OF EDINBURGH,RESEARCH,2017,11711790,UNIVERSITY
UNIVERSITY OF EDINBURGH,RESEARCH,2018,8557192,UNIVERSITY
UNIVERSITY OF ESSEX,RESEARCH,2018,559131,UNIVERSITY
UNIVERSITY OF ESSEX,EDUCATION,2018,484766,UNIVERSITY
UNIVERSITY OF ESSEX,BUSINESS,2015,205426,UNIVERSITY
UNIVERSITY OF ESSEX,BUSINESS,2016,227491,UNIVERSITY
UNIVERSITY OF ESSEX,BUSINESS,2017,861095,UNIVERSITY
UNIVERSITY OF ESSEX,BUSINESS,2018,1067401,UNIVERSITY
UNIVERSITY OF ESSEX,RESEARCH,2013,36744646,UNIVERSITY
UNIVERSITY OF ESSEX,RESEARCH,2014,10645974,UNIVERSITY
UNIVERSITY OF ESSEX,RESEARCH,2015,9131520,UNIVERSITY
UNIVERSITY OF ESSEX,RESEARCH,2016,34048124,UNIVERSITY
UNIVERSITY OF ESSEX,RESEARCH,2017,21898625,UNIVERSITY
UNIVERSITY OF ESSEX,RESEARCH,2018,19781455,UNIVERSITY
UNIVERSITY OF ESSEX,RESEARCH,2011,7818803,UNIVERSITY
UNIVERSITY OF ESSEX,RESEARCH,2015,190084,UNIVERSITY
UNIVERSITY OF ESSEX,RESEARCH,2016,96696,UNIVERSITY
UNIVERSITY OF ESSEX,RESEARCH,2017,4720718,UNIVERSITY
UNIVERSITY OF ESSEX,RESEARCH,2018,181836,UNIVERSITY
UNIVERSITY OF EXETER,RESEARCH,2017,774716,UNIVERSITY
UNIVERSITY OF EXETER,RESEARCH,2018,118309,UNIVERSITY
UNIVERSITY OF EXETER,EDUCATION,2013,1540015,UNIVERSITY
UNIVERSITY OF EXETER,EDUCATION,2014,2093514,UNIVERSITY
UNIVERSITY OF EXETER,EDUCATION,2015,936294,UNIVERSITY
UNIVERSITY OF EXETER,EDUCATION,2016,3642410,UNIVERSITY
UNIVERSITY OF EXETER,EDUCATION,2017,3939103,UNIVERSITY
UNIVERSITY OF EXETER,EDUCATION,2018,9374751,UNIVERSITY
UNIVERSITY OF EXETER,BUSINESS,2017,392836,UNIVERSITY
UNIVERSITY OF EXETER,BUSINESS,2018,279708,UNIVERSITY
UNIVERSITY OF EXETER,OTHER GRANT,2017,296212,UNIVERSITY
UNIVERSITY OF EXETER,RESEARCH,2013,2610603,UNIVERSITY
UNIVERSITY OF EXETER,RESEARCH,2014,5329221,UNIVERSITY
UNIVERSITY OF EXETER,RESEARCH,2015,17167998,UNIVERSITY
UNIVERSITY OF EXETER,RESEARCH,2016,25859964,UNIVERSITY
UNIVERSITY OF EXETER,RESEARCH,2017,33772040,UNIVERSITY
UNIVERSITY OF EXETER,RESEARCH,2018,31043178,UNIVERSITY
UNIVERSITY OF EXETER,RESEARCH,2013,449953,UNIVERSITY
UNIVERSITY OF EXETER,RESEARCH,2014,11474686,UNIVERSITY
UNIVERSITY OF EXETER,RESEARCH,2015,1883763,UNIVERSITY
UNIVERSITY OF EXETER,RESEARCH,2016,1848642,UNIVERSITY
UNIVERSITY OF EXETER,RESEARCH,2017,993307,UNIVERSITY
UNIVERSITY OF EXETER,RESEARCH,2018,3240770,UNIVERSITY
UNIVERSITY OF GENEVA,RESEARCH,2016,318780,UNIVERSITY
UNIVERSITY OF GLASGOW,EDUCATION,2012,532673,UNIVERSITY
UNIVERSITY OF GLASGOW,EDUCATION,2013,2585139,UNIVERSITY
UNIVERSITY OF GLASGOW,EDUCATION,2014,425506,UNIVERSITY
UNIVERSITY OF GLASGOW,EDUCATION,2015,1634461,UNIVERSITY
UNIVERSITY OF GLASGOW,EDUCATION,2016,2993434,UNIVERSITY
UNIVERSITY OF GLASGOW,EDUCATION,2017,2716095,UNIVERSITY
UNIVERSITY OF GLASGOW,EDUCATION,2018,6991706,UNIVERSITY
UNIVERSITY OF GLASGOW,BUSINESS,2018,126471,UNIVERSITY
UNIVERSITY OF GLASGOW,OTHER GRANT,2015,333823,UNIVERSITY
UNIVERSITY OF GLASGOW,OTHER GRANT,2017,344461,UNIVERSITY
UNIVERSITY OF GLASGOW,RESEARCH,2011,7912983,UNIVERSITY
UNIVERSITY OF GLASGOW,RESEARCH,2012,397592,UNIVERSITY
UNIVERSITY OF GLASGOW,RESEARCH,2013,15565448,UNIVERSITY
UNIVERSITY OF GLASGOW,RESEARCH,2014,49335240,UNIVERSITY
UNIVERSITY OF GLASGOW,RESEARCH,2015,24792258,UNIVERSITY
UNIVERSITY OF GLASGOW,RESEARCH,2016,37110702,UNIVERSITY
UNIVERSITY OF GLASGOW,RESEARCH,2017,50591585,UNIVERSITY
UNIVERSITY OF GLASGOW,RESEARCH,2018,55040600,UNIVERSITY
UNIVERSITY OF GLASGOW,RESEARCH,2014,8679666,UNIVERSITY
UNIVERSITY OF GLASGOW,RESEARCH,2015,6368520,UNIVERSITY
UNIVERSITY OF GLASGOW,RESEARCH,2016,6613176,UNIVERSITY
UNIVERSITY OF GLASGOW,RESEARCH,2017,2116644,UNIVERSITY
UNIVERSITY OF GLASGOW,RESEARCH,2018,7569089,UNIVERSITY
UNIVERSITY OF GREENWICH,BUSINESS,2016,142913,UNIVERSITY
UNIVERSITY OF GREENWICH,BUSINESS,2018,105322,UNIVERSITY
UNIVERSITY OF GREENWICH,RESEARCH,2014,694897,UNIVERSITY
UNIVERSITY OF GREENWICH,RESEARCH,2016,1366827,UNIVERSITY
UNIVERSITY OF GREENWICH,RESEARCH,2017,1205901,UNIVERSITY
UNIVERSITY OF GREENWICH,RESEARCH,2018,1636578,UNIVERSITY
UNIVERSITY OF GREENWICH,RESEARCH,2013,68648,UNIVERSITY
UNIVERSITY OF GREENWICH,RESEARCH,2017,88508,UNIVERSITY
UNIVERSITY OF HERTFORDSHIRE,RESEARCH,2018,92689,UNIVERSITY
UNIVERSITY OF HERTFORDSHIRE,RESEARCH,2018,14032,UNIVERSITY
UNIVERSITY OF HERTFORDSHIRE,EDUCATION,2018,290772,UNIVERSITY
UNIVERSITY OF HERTFORDSHIRE,BUSINESS,2016,109286,UNIVERSITY
UNIVERSITY OF HERTFORDSHIRE,BUSINESS,2017,350268,UNIVERSITY
UNIVERSITY OF HERTFORDSHIRE,BUSINESS,2018,444731,UNIVERSITY
UNIVERSITY OF HERTFORDSHIRE,RESEARCH,2015,2468755,UNIVERSITY
UNIVERSITY OF HERTFORDSHIRE,RESEARCH,2016,3292613,UNIVERSITY
UNIVERSITY OF HERTFORDSHIRE,RESEARCH,2017,1250032,UNIVERSITY
UNIVERSITY OF HERTFORDSHIRE,RESEARCH,2018,2627363,UNIVERSITY
UNIVERSITY OF HERTFORDSHIRE,RESEARCH,2014,212601,UNIVERSITY
UNIVERSITY OF HERTFORDSHIRE,RESEARCH,2015,456317,UNIVERSITY
UNIVERSITY OF HERTFORDSHIRE,RESEARCH,2017,223617,UNIVERSITY
UNIVERSITY OF HERTFORDSHIRE,RESEARCH,2018,225996,UNIVERSITY
UNIVERSITY OF HUDDERSFIELD,RESEARCH,2018,166109,UNIVERSITY
UNIVERSITY OF HUDDERSFIELD,EDUCATION,2013,914012,UNIVERSITY
UNIVERSITY OF HUDDERSFIELD,EDUCATION,2018,1180673,UNIVERSITY
UNIVERSITY OF HUDDERSFIELD,BUSINESS,2015,121596,UNIVERSITY
UNIVERSITY OF HUDDERSFIELD,BUSINESS,2017,501002,UNIVERSITY
UNIVERSITY OF HUDDERSFIELD,BUSINESS,2018,588240,UNIVERSITY
UNIVERSITY OF HUDDERSFIELD,RESEARCH,2015,1794140,UNIVERSITY
UNIVERSITY OF HUDDERSFIELD,RESEARCH,2016,510025,UNIVERSITY
UNIVERSITY OF HUDDERSFIELD,RESEARCH,2017,14610076,UNIVERSITY
UNIVERSITY OF HUDDERSFIELD,RESEARCH,2018,1750184,UNIVERSITY
UNIVERSITY OF HUDDERSFIELD,RESEARCH,2015,90000,UNIVERSITY
UNIVERSITY OF HUDDERSFIELD,RESEARCH,2016,553518,UNIVERSITY
UNIVERSITY OF HUDDERSFIELD,RESEARCH,2017,105997,UNIVERSITY
UNIVERSITY OF HUDDERSFIELD,RESEARCH,2018,1863329,UNIVERSITY
UNIVERSITY OF HULL,EDUCATION,2013,595596,UNIVERSITY
UNIVERSITY OF HULL,BUSINESS,2017,121944,UNIVERSITY
UNIVERSITY OF HULL,BUSINESS,2018,61348,UNIVERSITY
UNIVERSITY OF HULL,RESEARCH,2013,241187,UNIVERSITY
UNIVERSITY OF HULL,RESEARCH,2014,774882,UNIVERSITY
UNIVERSITY OF HULL,RESEARCH,2015,373429,UNIVERSITY
UNIVERSITY OF HULL,RESEARCH,2016,393907,UNIVERSITY
UNIVERSITY OF HULL,RESEARCH,2017,1304236,UNIVERSITY
UNIVERSITY OF HULL,RESEARCH,2018,1750143,UNIVERSITY
UNIVERSITY OF HULL,RESEARCH,2016,80670,UNIVERSITY
UNIVERSITY OF KENT,EDUCATION,2014,687886,UNIVERSITY
UNIVERSITY OF KENT,EDUCATION,2015,1297485,UNIVERSITY
UNIVERSITY OF KENT,EDUCATION,2016,342440,UNIVERSITY
UNIVERSITY OF KENT,EDUCATION,2018,294646,UNIVERSITY
UNIVERSITY OF KENT,BUSINESS,2016,153961,UNIVERSITY
UNIVERSITY OF KENT,BUSINESS,2017,109420,UNIVERSITY
UNIVERSITY OF KENT,BUSINESS,2018,395914,UNIVERSITY
UNIVERSITY OF KENT,RESEARCH,2013,911083,UNIVERSITY
UNIVERSITY OF KENT,RESEARCH,2014,5562511,UNIVERSITY
UNIVERSITY OF KENT,RESEARCH,2015,1905553,UNIVERSITY
UNIVERSITY OF KENT,RESEARCH,2016,5872311,UNIVERSITY
UNIVERSITY OF KENT,RESEARCH,2017,12249808,UNIVERSITY
UNIVERSITY OF KENT,RESEARCH,2018,8449058,UNIVERSITY
UNIVERSITY OF KENT,RESEARCH,2014,365355,UNIVERSITY
UNIVERSITY OF KENT,RESEARCH,2015,1059271,UNIVERSITY
UNIVERSITY OF KENT,RESEARCH,2017,74539,UNIVERSITY
UNIVERSITY OF KENT,RESEARCH,2018,1028833,UNIVERSITY
UNIVERSITY OF KWAZULU-NATAL,RESEARCH,2015,208763,UNIVERSITY
UNIVERSITY OF LEEDS,EDUCATION,2013,1013147,UNIVERSITY
UNIVERSITY OF LEEDS,EDUCATION,2014,1546575,UNIVERSITY
UNIVERSITY OF LEEDS,EDUCATION,2015,2408702,UNIVERSITY
UNIVERSITY OF LEEDS,EDUCATION,2016,6687537,UNIVERSITY
UNIVERSITY OF LEEDS,EDUCATION,2017,2014322,UNIVERSITY
UNIVERSITY OF LEEDS,EDUCATION,2018,11289415,UNIVERSITY
UNIVERSITY OF LEEDS,BUSINESS,2016,141419,UNIVERSITY
UNIVERSITY OF LEEDS,BUSINESS,2017,372183,UNIVERSITY
UNIVERSITY OF LEEDS,OTHER GRANT,2014,2028767,UNIVERSITY
UNIVERSITY OF LEEDS,OTHER GRANT,2017,7199996,UNIVERSITY
UNIVERSITY OF LEEDS,RESEARCH,2012,5597800,UNIVERSITY
UNIVERSITY OF LEEDS,RESEARCH,2013,10665620,UNIVERSITY
UNIVERSITY OF LEEDS,RESEARCH,2014,23258235,UNIVERSITY
UNIVERSITY OF LEEDS,RESEARCH,2015,26596114,UNIVERSITY
UNIVERSITY OF LEEDS,RESEARCH,2016,49372158,UNIVERSITY
UNIVERSITY OF LEEDS,RESEARCH,2017,79710621,UNIVERSITY
UNIVERSITY OF LEEDS,RESEARCH,2018,71244801,UNIVERSITY
UNIVERSITY OF LEEDS,RESEARCH,2014,25709179,UNIVERSITY
UNIVERSITY OF LEEDS,RESEARCH,2015,15074920,UNIVERSITY
UNIVERSITY OF LEEDS,RESEARCH,2016,4665628,UNIVERSITY
UNIVERSITY OF LEEDS,RESEARCH,2017,4458318,UNIVERSITY
UNIVERSITY OF LEEDS,RESEARCH,2018,7718135,UNIVERSITY
UNIVERSITY OF LEICESTER,EDUCATION,2012,2055742,UNIVERSITY
UNIVERSITY OF LEICESTER,EDUCATION,2015,467746,UNIVERSITY
UNIVERSITY OF LEICESTER,EDUCATION,2016,510543,UNIVERSITY
UNIVERSITY OF LEICESTER,EDUCATION,2017,1467173,UNIVERSITY
UNIVERSITY OF LEICESTER,EDUCATION,2018,1156408,UNIVERSITY
UNIVERSITY OF LEICESTER,BUSINESS,2015,148865,UNIVERSITY
UNIVERSITY OF LEICESTER,BUSINESS,2016,75505,UNIVERSITY
UNIVERSITY OF LEICESTER,BUSINESS,2017,472973,UNIVERSITY
UNIVERSITY OF LEICESTER,BUSINESS,2018,164702,UNIVERSITY
UNIVERSITY OF LEICESTER,RESEARCH,2013,822481,UNIVERSITY
UNIVERSITY OF LEICESTER,RESEARCH,2014,761459,UNIVERSITY
UNIVERSITY OF LEICESTER,RESEARCH,2015,9096866,UNIVERSITY
UNIVERSITY OF LEICESTER,RESEARCH,2016,11336855,UNIVERSITY
UNIVERSITY OF LEICESTER,RESEARCH,2017,12806974,UNIVERSITY
UNIVERSITY OF LEICESTER,RESEARCH,2018,20876768,UNIVERSITY
UNIVERSITY OF LEICESTER,RESEARCH,2014,3191663,UNIVERSITY
UNIVERSITY OF LEICESTER,RESEARCH,2015,2364580,UNIVERSITY
UNIVERSITY OF LEICESTER,RESEARCH,2016,193392,UNIVERSITY
UNIVERSITY OF LEICESTER,RESEARCH,2017,1077754,UNIVERSITY
UNIVERSITY OF LEICESTER,RESEARCH,2018,1661390,UNIVERSITY
UNIVERSITY OF LINCOLN,BUSINESS,2016,73200,UNIVERSITY
UNIVERSITY OF LINCOLN,BUSINESS,2018,493410,UNIVERSITY
UNIVERSITY OF LINCOLN,RESEARCH,2016,2483531,UNIVERSITY
UNIVERSITY OF LINCOLN,RESEARCH,2017,183967,UNIVERSITY
UNIVERSITY OF LINCOLN,RESEARCH,2018,5163437,UNIVERSITY
UNIVERSITY OF LIVERPOOL,EDUCATION,2013,985447,UNIVERSITY
UNIVERSITY OF LIVERPOOL,EDUCATION,2014,1232980,UNIVERSITY
UNIVERSITY OF LIVERPOOL,EDUCATION,2015,1328296,UNIVERSITY
UNIVERSITY OF LIVERPOOL,EDUCATION,2016,1243650,UNIVERSITY
UNIVERSITY OF LIVERPOOL,EDUCATION,2017,2725752,UNIVERSITY
