LeadROName,ProjectCategory,year,AwardPounds,ProviderType
ARTEMIS INTELLIGENT POWER LIMITED,RESEARCH,2018,10853307,COMPANY
ASEPTIKA LIMITED,RESEARCH,2017,891034,COMPANY
ASEPTIKA LIMITED,RESEARCH,2018,52491,COMPANY
ASHWOODS AUTOMOTIVE LTD,RESEARCH,2016,1708469,COMPANY
ASHWOODS LIGHTFOOT LIMITED,RESEARCH,2017,992809,COMPANY
ASSET INTERNATIONAL LIMITED,RESEARCH,2017,173653,COMPANY
ASSIST MI LTD,RESEARCH,2016,260632,COMPANY
ASTERAND UK ACQUISITION LIMITED,RESEARCH,2016,465970,COMPANY
ASTON MARTIN LAGONDA LIMITED,RESEARCH,2018,2215494,COMPANY
ASTON PARTICLE TECHNOLOGIES LIMITED,RESEARCH,2018,383454,COMPANY
ASTON UNIVERSITY,EDUCATION,2014,1163889,UNIVERSITY
ASTON UNIVERSITY,EDUCATION,2015,1544198,UNIVERSITY
ASTON UNIVERSITY,EDUCATION,2018,1212086,UNIVERSITY
ASTON UNIVERSITY,BUSINESS,2015,142153,UNIVERSITY
ASTON UNIVERSITY,BUSINESS,2016,116093,UNIVERSITY
ASTON UNIVERSITY,BUSINESS,2017,281254,UNIVERSITY
ASTON UNIVERSITY,BUSINESS,2018,254731,UNIVERSITY
ASTON UNIVERSITY,RESEARCH,2015,777148,UNIVERSITY
ASTON UNIVERSITY,RESEARCH,2016,929083,UNIVERSITY
ASTON UNIVERSITY,RESEARCH,2017,1753101,UNIVERSITY
ASTON UNIVERSITY,RESEARCH,2018,4531021,UNIVERSITY
ASTON UNIVERSITY,RESEARCH,2014,188252,UNIVERSITY
ASTON UNIVERSITY,RESEARCH,2015,190084,UNIVERSITY
ASTON UNIVERSITY,RESEARCH,2016,958552,UNIVERSITY
ASTON UNIVERSITY,RESEARCH,2017,189293,UNIVERSITY
ASTON UNIVERSITY,RESEARCH,2018,592814,UNIVERSITY
ASTONISHING LTD,RESEARCH,2018,34989,COMPANY
ASTRAGUARD SYSTEMS LIMITED,RESEARCH,2018,69129,COMPANY
ASTRAZENECA UK LIMITED,RESEARCH,2014,585159,COMPANY
ASTROSCALE LTD,RESEARCH,2018,4179308,COMPANY
ATG UV TECHNOLOGY LIMITED,RESEARCH,2017,321118,COMPANY
ATHENE WORKS LIMITED,RESEARCH,2016,1685818,COMPANY
ATKINS UK,RESEARCH,2015,3221648,COMPANY
ATKINS UK,RESEARCH,2016,3727464,COMPANY
ATLAS GENETICS LIMITED,BUSINESS,2017,1998984,COMPANY
ATMOS INTERNATIONAL LIMITED,RESEARCH,2018,245680,COMPANY
ATTENBOROUGH DENTAL LABORATORIES LTD,RESEARCH,2018,754741,COMPANY
ATWELL INTERNATIONAL LIMITED,RESEARCH,2018,280320,COMPANY
AUGMENTED INSTRUMENTS LTD,RESEARCH,2018,78703,COMPANY
AURECON,RESEARCH,2015,177348,COMPANY
AURELIUS ENVIRONMENTAL LTD,RESEARCH,2018,697779,COMPANY
AUTIFONY THERAPEUTICS LIMITED,RESEARCH,2015,2421118,COMPANY
AUTOCRAFT DRIVETRAIN SOLUTIONS LIMITED,RESEARCH,2017,58756,COMPANY
AUTOLUS LIMITED,RESEARCH,2015,1482960,COMPANY
AUTOLUS LIMITED,RESEARCH,2017,1961446,COMPANY
AUTOLUS LIMITED,RESEARCH,2018,1225847,COMPANY
AUTONAUT LIMITED,RESEARCH,2018,395001,COMPANY
AUTONOMOUS DEVICES LIMITED,RESEARCH,2017,62960,COMPANY
AUTONOMOUS SURFACE VEHICLES LIMITED,RESEARCH,2015,714196,COMPANY
AUTONOMOUS SURFACE VEHICLES LIMITED,RESEARCH,2018,1356560,COMPANY
AUTONOMOUS SURFACE VEHICLES LIMITED,RESEARCH,2017,264245,COMPANY
AUTOTECH ENGINEERING R&D UK LIMITED,RESEARCH,2018,602904,COMPANY
AUTOTRIP LTD,RESEARCH,2017,161605,COMPANY
AVALON BEHAVIOUR VENTURES LIMITED,RESEARCH,2015,438937,COMPANY
AVALON BEHAVIOUR VENTURES LIMITED,RESEARCH,2018,106006,COMPANY
AVALON PRODUCE LIMITED,RESEARCH,2016,137307,COMPANY
AVALON SCIENCES LIMITED,RESEARCH,2017,220745,COMPANY
AVANTI COMMUNICATIONS LIMITED,RESEARCH,2015,2075472,COMPANY
AVANTI COMMUNICATIONS LIMITED,RESEARCH,2016,2125090,COMPANY
AVANTI COMMUNICATIONS LIMITED,RESEARCH,2017,719531,COMPANY
AVANTI COMMUNICATIONS LIMITED,RESEARCH,2017,198318,COMPANY
AVL POWERTRAIN UK LIMITED,RESEARCH,2017,1362496,COMPANY
AVL POWERTRAIN UK LIMITED,RESEARCH,2018,317829,COMPANY
AVON POLYMER PRODUCTS LIMITED,RESEARCH,2018,106572,COMPANY
AVONWOOD DEVELOPMENTS LIMITED,RESEARCH,2017,673685,COMPANY
AXI-TEK LTD,RESEARCH,2018,69030,COMPANY
AXIS BIOSERVICES LIMITED,EDUCATION,2018,307205,COMPANY
AYUDA HEURISTICS LTD,RESEARCH,2018,620129,COMPANY
AZELLON LTD,RESEARCH,2015,1622220,COMPANY
B G RESEARCH LIMITED,RESEARCH,2017,69849,COMPANY
B G RESEARCH LIMITED,RESEARCH,2018,665353,COMPANY
B-HIVE INNOVATIONS LIMITED,RESEARCH,2017,956027,COMPANY
B-HIVE INNOVATIONS LIMITED,RESEARCH,2018,510688,COMPANY
BABCOCK INTEGRATED TECHNOLOGY LIMITED,RESEARCH,2016,694453,COMPANY
BABRAHAM INSTITUTE,EDUCATION,2016,304482,COMPANY
BABRAHAM INSTITUTE,RESEARCH,2015,329409,COMPANY
BABRAHAM INSTITUTE,RESEARCH,2016,1892343,COMPANY
BABRAHAM INSTITUTE,RESEARCH,2017,1078788,COMPANY
BABRAHAM INSTITUTE,RESEARCH,2018,1448618,COMPANY
BABRAHAM INSTITUTE,RESEARCH,2014,94126,COMPANY
