LeadROName,ProjectCategory,year,Region,AwardPounds
APS BIOCONTROL LIMITED,COLLABORATIVE R&D,2015,SCOTLAND,244826.0
APS BIOCONTROL LIMITED,COLLABORATIVE R&D,2016,SCOTLAND,145681.0
APS BIOCONTROL LIMITED,COLLABORATIVE R&D,2018,SCOTLAND,1119822.0
AQDOT LIMITED,COLLABORATIVE R&D,2017,EAST OF ENGLAND,691712.0
AQUASIUM TECHNOLOGY LIMITED,COLLABORATIVE R&D,2017,EAST OF ENGLAND,672030.0
ARC TRINOVA LIMITED,COLLABORATIVE R&D,2018,UNKNOWN,1439929.0
ARC TRINOVA LIMITED,CRD,2018,UNKNOWN,1036395.0
ARCH UK BIOCIDES LIMITED,FEASIBILITY STUDIES,2015,NORTH EAST,477468.0
ARCHANGEL IMAGING LTD.,FEASIBILITY STUDIES,2018,LONDON,139917.0
ARCHIPELAGO TECHNOLOGY GROUP LTD,COLLABORATIVE R&D,2017,EAST OF ENGLAND,888564.0
ARCOLA ENERGY LIMITED,FEASIBILITY STUDIES,2018,LONDON,469141.0
ARCTORIS LTD,CRD,2018,SOUTH EAST,511773.0
ARECOR LIMITED,COLLABORATIVE R&D,2017,EAST MIDLANDS,2261267.0
ARETE MEDICAL TECHNOLOGIES LTD,FEASIBILITY STUDIES,2018,UNKNOWN,120521.0
ARID AGRITEC LIMITED,COLLABORATIVE R&D,2017,NORTH WEST,773712.0
ARIEL MOTOR COMPANY (AUTOMOTIVE) LIMITED,COLLABORATIVE R&D,2017,UNKNOWN,6213129.0
ARM LIMITED,COLLABORATIVE R&D,2017,EAST OF ENGLAND,1339655.0
ARMAGH OBSERVATORY,RESEARCH GRANT,2014,NORTHERN IRELAND,42201.0
ARMAGH OBSERVATORY,RESEARCH GRANT,2015,NORTHERN IRELAND,583388.0
ARMAGH OBSERVATORY,RESEARCH GRANT,2018,NORTHERN IRELAND,544934.0
ARMAGH OBSERVATORY,TRAINING GRANT,2015,NORTHERN IRELAND,215377.0
ARMAGH OBSERVATORY,TRAINING GRANT,2017,NORTHERN IRELAND,74539.0
ARQIT LIMITED,CRD,2018,UNKNOWN,3251717.0
ARRIVA UK TRAINS LIMITED,COLLABORATIVE R&D,2017,NORTH EAST,740677.0
ARRIVAL LIMITED,COLLABORATIVE R&D,2018,UNKNOWN,6820884.0
ARTEMIS INTELLIGENT POWER LIMITED,COLLABORATIVE R&D,2018,SCOTLAND,10853307.0
ASEPTIKA LIMITED,COLLABORATIVE R&D,2017,EAST OF ENGLAND,891034.0
ASEPTIKA LIMITED,FEASIBILITY STUDIES,2018,EAST OF ENGLAND,52491.0
ASHWOODS AUTOMOTIVE LTD,COLLABORATIVE R&D,2016,SOUTH WEST,1708469.0
ASHWOODS LIGHTFOOT LIMITED,COLLABORATIVE R&D,2017,SOUTH WEST,992809.0
ASSET INTERNATIONAL LIMITED,FEASIBILITY STUDIES,2017,WEST MIDLANDS,173653.0
ASSIST MI LTD,COLLABORATIVE R&D,2016,NORTH EAST,260632.0
ASTERAND UK ACQUISITION LIMITED,COLLABORATIVE R&D,2016,WEST MIDLANDS,465970.0
ASTON MARTIN LAGONDA LIMITED,COLLABORATIVE R&D,2018,WEST MIDLANDS,2215494.0
ASTON PARTICLE TECHNOLOGIES LIMITED,COLLABORATIVE R&D,2018,WEST MIDLANDS,383454.0
ASTON UNIVERSITY,FELLOWSHIP,2014,WEST MIDLANDS,1163889.0
ASTON UNIVERSITY,FELLOWSHIP,2015,WEST MIDLANDS,1544198.0
ASTON UNIVERSITY,FELLOWSHIP,2018,WEST MIDLANDS,1212086.0
ASTON UNIVERSITY,KNOWLEDGE TRANSFER PARTNERSHIP,2015,WEST MIDLANDS,142153.0
ASTON UNIVERSITY,KNOWLEDGE TRANSFER PARTNERSHIP,2016,WEST MIDLANDS,116093.0
ASTON UNIVERSITY,KNOWLEDGE TRANSFER PARTNERSHIP,2017,WEST MIDLANDS,281254.0
ASTON UNIVERSITY,KNOWLEDGE TRANSFER PARTNERSHIP,2018,WEST MIDLANDS,254731.0
ASTON UNIVERSITY,RESEARCH GRANT,2015,WEST MIDLANDS,777148.0
ASTON UNIVERSITY,RESEARCH GRANT,2016,WEST MIDLANDS,929083.0
ASTON UNIVERSITY,RESEARCH GRANT,2017,WEST MIDLANDS,1753101.0
ASTON UNIVERSITY,RESEARCH GRANT,2018,WEST MIDLANDS,4531021.0
