Value,Year,ProviderType,Purpose,ProviderName
46372,2012,COMPANY,EDUCATION,BOOTS OPTICIANS PROFESSIONAL SERVICES LTD
255360,2012,COMPANY,EDUCATION,BOOTS OPTICIANS PROFESSIONAL SERVICES LTD
173021,2012,COMPANY,EDUCATION,BOROUGH OF TELFORD AND WREKIN
340445,2012,COMPANY,EDUCATION,BOROUGH OF TELFORD AND WREKIN
102190,2012,COLLEGE,EDUCATION,BOSTON COLLEGE
719548,2012,COLLEGE,EDUCATION,BOSTON COLLEGE
4845168,2012,COLLEGE,EDUCATION,BOSTON COLLEGE
172398,2012,COLLEGE,EDUCATION,BOURNVILLE COLLEGE OF FURTHER EDUCATION
1213408,2012,COLLEGE,EDUCATION,BOURNVILLE COLLEGE OF FURTHER EDUCATION
11585150,2012,COLLEGE,EDUCATION,BOURNVILLE COLLEGE OF FURTHER EDUCATION
703326,2012,COLLEGE,EDUCATION,BOWLING COLLEGE
270889,2012,COMPANY,EDUCATION,BPP HOLDINGS PLC
784070,2012,COMPANY,EDUCATION,BPP HOLDINGS PLC
367033,2012,COLLEGE,EDUCATION,BRACKNELL AND WOKINGHAM COLLEGE
631440,2012,COLLEGE,EDUCATION,BRACKNELL AND WOKINGHAM COLLEGE
2554669,2012,COLLEGE,EDUCATION,BRACKNELL AND WOKINGHAM COLLEGE
119336,2012,COMPANY,EDUCATION,BRACKNELL FOREST BOROUGH COUNCIL
353322,2012,COMPANY,EDUCATION,BRACKNELL FOREST BOROUGH COUNCIL
45057,2012,COMPANY,EDUCATION,BRADFORD CITY COUNCIL
412576,2012,COMPANY,EDUCATION,BRADFORD CITY COUNCIL
956117,2012,COLLEGE,EDUCATION,BRADFORD COLLEGE
2526669,2012,COLLEGE,EDUCATION,BRADFORD COLLEGE
13700460,2012,COLLEGE,EDUCATION,BRADFORD COLLEGE
1128619,2012,COMPANY,EDUCATION,BRENT LONDON BOROUGH COUNCIL
2791889,2012,COMPANY,EDUCATION,BRENT LONDON BOROUGH COUNCIL
406568,2012,COLLEGE,EDUCATION,BRIDGWATER COLLEGE
1818583,2012,COLLEGE,EDUCATION,BRIDGWATER COLLEGE
6169465,2012,COLLEGE,EDUCATION,BRIDGWATER COLLEGE
17033,2012,COMPANY,EDUCATION,BRIGHTON AND HOVE CITY COUNCIL
299920,2012,COMPANY,EDUCATION,BRIGHTON AND HOVE CITY COUNCIL
36223,2012,COLLEGE,EDUCATION,"BRIGHTON, HOVE AND SUSSEX SIXTH FORM COLLEGE"
271526,2012,COMPANY,EDUCATION,BRINSWORTH TRAINING LIMITED 
980664,2012,COMPANY,EDUCATION,BRINSWORTH TRAINING LIMITED 
385838,2012,COMPANY,EDUCATION,BRISTOL CITY COUNCIL
722285,2012,COMPANY,EDUCATION,BRISTOL CITY COUNCIL
1557119,2012,COMPANY,EDUCATION,BRISTOL CITY COUNCIL
12038518,2012,COMPANY,EDUCATION,BRITISH ARMY
13883776,2012,COMPANY,EDUCATION,BRITISH ARMY
545992,2012,COMPANY,EDUCATION,BRITISH GAS
1206724,2012,COMPANY,EDUCATION,BRITISH GAS
373462,2012,COMPANY,EDUCATION,BRITISH PRINTING INDUSTRIES FEDERATION LTD
545444,2012,COMPANY,EDUCATION,BRITISH PRINTING INDUSTRIES FEDERATION LTD
215413,2012,COMPANY,EDUCATION,BROADLAND DISTRICT COUNCIL
721461,2012,COMPANY,EDUCATION,BROADLAND DISTRICT COUNCIL
291150,2012,COLLEGE,EDUCATION,BROCKENHURST COLLEGE
384072,2012,COLLEGE,EDUCATION,BROCKENHURST COLLEGE
2946493,2012,COLLEGE,EDUCATION,BROCKENHURST COLLEGE
1109094,2012,COLLEGE,EDUCATION,BROMLEY COLLEGE OF FURTHER AND HIGHER EDUCATION
7580797,2012,COLLEGE,EDUCATION,BROMLEY COLLEGE OF FURTHER AND HIGHER EDUCATION
796283,2012,COMPANY,EDUCATION,BROMLEY LONDON BOROUGH COUNCIL
1334015,2012,COMPANY,EDUCATION,BROMLEY LONDON BOROUGH COUNCIL
392993,2012,COLLEGE,EDUCATION,BROOKE HOUSE SIXTH FORM COLLEGE
104079,2012,COLLEGE,EDUCATION,BROOKLANDS COLLEGE
2301092,2012,COLLEGE,EDUCATION,BROOKLANDS COLLEGE
3009878,2012,COLLEGE,EDUCATION,BROOKLANDS COLLEGE
315793,2012,COLLEGE,EDUCATION,BROOKSBY MELTON COLLEGE
1916963,2012,COLLEGE,EDUCATION,BROOKSBY MELTON COLLEGE
23444,2012,COMPANY,EDUCATION,B-SKILL LIMITED
1205298,2012,COMPANY,EDUCATION,B-SKILL LIMITED
1009375,2012,COMPANY,EDUCATION,BT
5999260,2012,COMPANY,EDUCATION,BT
128244,2012,COMPANY,EDUCATION,BUCKINGHAMSHIRE COUNTY COUNCIL
1910387,2012,COMPANY,EDUCATION,BUCKINGHAMSHIRE COUNTY COUNCIL
1950930,2012,COMPANY,EDUCATION,BUCKINGHAMSHIRE COUNTY COUNCIL
16623,2012,UNIVERSITY,EDUCATION,BUCKINGHAMSHIRE NEW UNIVERSITY
161393,2012,COLLEGE,EDUCATION,BUILDING CRAFTS COLLEGE
309381,2012,COLLEGE,EDUCATION,BUILDING CRAFTS COLLEGE
679161,2012,COMPANY,EDUCATION,BUILDING ENGINEERING SERVICES TRAINING LIMITED
1310127,2012,COMPANY,EDUCATION,BUILDING ENGINEERING SERVICES TRAINING LIMITED
1335934,2012,COLLEGE,EDUCATION,BURNLEY COLLEGE
3742553,2012,COLLEGE,EDUCATION,BURNLEY COLLEGE
119831,2012,COLLEGE,EDUCATION,BURTON AND SOUTH DERBYSHIRE COLLEGE
