LeadROName,StartDate,AwardPounds
BELLVEDI LIMITED,2018,446637.0
BENNAMANN LTD,2017,383770.0
BENTLEY MOTORS LIMITED,2018,1327001.0
BERAN INSTRUMENTS LIMITED,2015,565322.0
BERINGAR LTD,2018,51237.0
BERRY GARDENS GROWERS LIMITED,2016,184132.0
BERRY GARDENS GROWERS LIMITED,2017,689440.0
BERRY GARDENS GROWERS LIMITED,2018,495791.0
BERRY GARDENS LIMITED,2018,103784.0
BETA BUGS LIMITED,2018,69908.0
BFB LABS LTD,2018,325031.0
BICYCLE THERAPEUTICS LIMITED,2018,119649.0
BIG COUCH LTD,2018,248742.0
BIG HEALTH LTD,2018,820979.0
BIO-FLEX YARNS LIMITED,2018,506680.0
BIOCATALYSTS LIMITED,2018,59736.0
BIOGELX LIMITED,2017,121315.0
BIOINTERACTIONS LIMITED,2015,168789.0
BIOME TECHNOLOGIES PLC,2015,97485.0
BIOME TECHNOLOGIES PLC,2016,315705.0
BIOME TECHNOLOGIES PLC,2017,650489.0
BIOMOTI LIMITED,2017,662222.0
BIOMOTI LIMITED,2018,78579.0
BIONEMA LIMITED,2018,594179.0
BIOPHARMA PROCESS SYSTEMS LIMITED,2018,78876.0
BIOPOWER TECHNOLOGIES LIMITED,2017,289191.0
BIOSYSTEMS TECHNOLOGY LIMITED,2018,262652.0
BIOTOOLOMICS LIMITED,2018,67078.0
BIOTRONICS 3D LIMITED,2015,259912.0
BIOVENTIX PLC,2018,77433.0
BIOVERSITY INTERNATIONAL,2017,293658.0
BIOVICI LIMITED,2017,618809.0
BIOVORN LIMITED,2018,69968.0
BIRKBECK COLLEGE,2013,1687805.0
BIRKBECK COLLEGE,2014,2179170.0
BIRKBECK COLLEGE,2015,2239178.0
BIRKBECK COLLEGE,2016,1519756.0
BIRKBECK COLLEGE,2017,3916684.0
BIRKBECK COLLEGE,2018,3509605.0
BIRMINGHAM CITY UNIVERSITY,2014,115262.0
BIRMINGHAM CITY UNIVERSITY,2016,553747.0
BIRMINGHAM CITY UNIVERSITY,2017,999913.0
BIRMINGHAM CITY UNIVERSITY,2018,156325.0
BIRMINGHAM HIGH PERFORMANCE TURBOMACHINERY LIMITED,2018,388093.0
BLADEBUG LIMITED,2017,58626.0
BLADON JETS (UK) LIMITED,2017,935659.0
BLAKBEAR LTD,2018,68724.0
BLATCHFORD PRODUCTS LTD,2017,330784.0
BLEEPBLEEPS LIMITED,2018,44951.0
BLOCK DOX LIMITED,2017,184615.0
BLOCK DOX LIMITED,2018,1119731.0
BLOKUR LTD,2017,634255.0
BLOW MOULDING TECHNOLOGIES LTD,2018,69964.0
BLU WIRELESS TECHNOLOGY LIMITED,2017,69693.0
BLUE CASTLE BUSINESS SERVICES  LTD,2018,197468.0
BLUE SKY BIO LTD,2018,138384.0
BLUE TECH VENTURES LIMITED,2017,171249.0
BLUEFROG DESIGN LIMITED,2015,638548.0
BLUEPRINT PRODUCT DESIGN LIMITED,2017,187385.0
BMLL TECHNOLOGIES LIMITED,2017,698506.0
BMT SHIP & COASTAL DYNAMICS LIMITED,2017,685887.0
BMW MOTORSPORT LIMITED,2017,12577135.0
BODLE TECHNOLOGIES LIMITED,2017,378223.0
BOMBARDIER AEROSPACE UK LIMITED,2017,37570.0
BOMBARDIER AEROSPACE UK LIMITED,2018,14036961.0
BOND DIGITAL HEALTH LTD,2018,68583.0
BOTSANDUS LTD.,2018,69946.0
BOURNEMOUTH UNIVERSITY,2015,146114.0
BOURNEMOUTH UNIVERSITY,2016,677654.0
BOURNEMOUTH UNIVERSITY,2017,557004.0
BOURNEMOUTH UNIVERSITY,2018,716867.0
BRACKENMORE LTD,2018,267940.0
BRAENDLER ENGINEERING LTD,2018,535389.0
BRAINTRAIN2020 LIMITED,2017,324023.0
BRAINTREE LIMITED,2017,515908.0
BRANSCAN LIMITED,2017,496681.0
BREATHEOX LIMITED,2018,104720.0
"BRECKNELL, WILLIS & CO. LIMITED",2018,983976.0
BRIGHTDAY ENGINEERING LTD,2018,35167.0
BRILL POWER LIMITED,2018,136105.0
BRISTOL AERO LTD,2018,68851.0
BRISTOL WATER PLC,2018,65784.0
BRIT INST OF INTERNATIONAL AND COMP LAW,2018,198517.0
BRITISH BEET RESEARCH ORGANISATION,2015,1587993.0
BRITISH BROADCASTING CORPORATION,2018,506597.0
BRITISH TEXEL SHEEP SOCIETY LIMITED (THE),2014,1017438.0
BRITISH TEXEL SHEEP SOCIETY LIMITED (THE),2017,532364.0
BRITISH TRUST FOR ORNITHOLOGY,2018,127632.0
BRUNEL UNIVERSITY,2013,5699187.0
BRUNEL UNIVERSITY,2014,4184374.0
BRUNEL UNIVERSITY,2015,12717455.0
BRUNEL UNIVERSITY,2016,8051503.0
BRUNEL UNIVERSITY,2017,2503668.0
BRUNEL UNIVERSITY,2018,4770493.0
BRYDEN WOOD TECHNOLOGY LIMITED,2018,728151.0
BUFFALOGRID LTD,2017,266366.0
BULLION TECH LTD,2017,319306.0
BURKARD MANUFACTURING COMPANY LIMITED,2015,736885.0
C-CAPTURE LIMITED,2018,103938.0
C-TECH INNOVATION LIMITED,2015,383038.0
C-TECH INNOVATION LIMITED,2018,52212.0
C3 BIO-TECHNOLOGIES LIMITED,2018,291549.0
C4 CARBIDES LIMITED,2018,591713.0
C4X DISCOVERY LIMITED,2018,139965.0
CAB INTERNATIONAL,2015,256463.0
CAB INTERNATIONAL,2016,1211945.0
CADSCAN LIMITED,2017,543932.0
CADSCAN LIMITED,2018,766230.0
CAGEN LIMITED,2018,104633.0
CAMBIMUNE LIMITED,2017,244868.0
CAMBRIDGE BIO-AUGMENTATION SYSTEMS LTD,2018,647107.0
CAMBRIDGE CARBON CAPTURE LIMITED,2017,455592.0
CAMBRIDGE COGNITION LIMITED,2017,294283.0
CAMBRIDGE COGNITION LIMITED,2018,118761.0
CAMBRIDGE CRYSTALLOGRAPHIC DATA CENTRE,2016,96696.0
CAMBRIDGE DISPLAY TECHNOLOGY LIMITED,2018,113521.0
CAMBRIDGE ENVIRONMENTAL RESEARCH CONSULTANTS LIMITED,2018,263591.0
CAMBRIDGE GAN DEVICES LIMITED,2017,306681.0
CAMBRIDGE GRAPHENE LTD.,2017,68233.0
CAMBRIDGE MICROELECTRONICS LTD,2017,711764.0
CAMBRIDGE QUANTUM COMPUTING LIMITED,2018,237138.0
CAMBRIDGE RESPIRATORY INNOVATIONS LIMITED,2018,295795.0
CAMBRIDGE SPARK LIMITED,2018,416620.0
CAMENA BIOSCIENCE LIMITED,2018,1247100.0
CAMFRIDGE LIMITED,2016,690323.0
CAMMELL LAIRD SHIPREPAIRERS & SHIPBUILDERS LIMITED,2018,1536585.0
CAMSTECH LIMITED,2018,100850.0
CAMSTENT LIMITED,2018,74448.0
CAMVERTEC  LIMITED,2018,68952.0
CANTERBURY CHRIST CHURCH UNIVERSITY,2017,202084.0
CAPACITY BUILDING SUPPORT LIMITED,2017,961440.0
CARBONCHAIN.IO LIMITED,2018,70000.0
CARDIFF METROPOLITAN UNIVERSITY,2017,397649.0
CARDIFF METROPOLITAN UNIVERSITY,2018,95548.0
CARDIFF UNIVERSITY,2011,14852622.0
CARDIFF UNIVERSITY,2013,8905356.0
CARDIFF UNIVERSITY,2014,22820566.0
CARDIFF UNIVERSITY,2015,17514927.0
CARDIFF UNIVERSITY,2016,36438636.0
CARDIFF UNIVERSITY,2017,36592204.0
CARDIFF UNIVERSITY,2018,39420431.0
CARE CITY,2018,1397367.0
CARE QUALITY COMMISSION,2018,494703.0
CAREWHERE LIMITED,2017,421548.0
CARGILL PLC,2016,307358.0
CARNAUDMETALBOX ENGINEERING LIMITED,2018,1828390.0
CARR REINFORCEMENTS LIMITED,2017,332622.0
CASCADE TECHNOLOGIES LIMITED,2017,582837.0
CASTALUM LIMITED,2018,832335.0
CAUSEWAY THERAPEUTICS LIMITED,2018,1442299.0
CAV ADVANCED TECHNOLOGIES LIMITED,2016,1158272.0
CAV ADVANCED TECHNOLOGIES LIMITED,2017,817403.0
CAVENDISH NUCLEAR LIMITED,2018,1398328.0
CCM RESEARCH LIMITED,2017,1028970.0
CDO2 LIMITED,2018,382845.0
CELL AND GENE THERAPY CATAPULT,2017,12000000.0
CELL AND GENE THERAPY CATAPULT,2018,2999198.0
CELL GUIDANCE SYSTEMS LIMITED,2017,391058.0
CELL MEDICA LIMITED,2017,1999652.0
CELL THERAPY CATAPULT LIMITED,2018,74700000.0
CELLESCE LIMITED,2018,413965.0
CELLUCOMP LIMITED,2016,655621.0
CELLULAR SYSTEMS (GRANTHAM) LIMITED,2018,75993.0
CELLULAR THERAPEUTICS LTD,2017,1006552.0
CELLULAR THERAPEUTICS LTD,2018,67034.0
CEMEX UK OPERATIONS LIMITED,2017,290075.0
CENERGIST LIMITED,2017,314142.0
CENSO BIOTECHNOLOGIES LTD,2017,834609.0
CENSO BIOTECHNOLOGIES LTD,2018,69242.0
CENTAURI THERAPEUTICS LIMITED,2017,945039.0
CENTRE FOR ENV FISHERIES AQUA SCI CEFAS,2013,1171890.0
CENTRE FOR ENV FISHERIES AQUA SCI CEFAS,2014,581489.0
CENTRE FOR ENV FISHERIES AQUA SCI CEFAS,2017,203259.0
CENTRE FOR ENV FISHERIES AQUA SCI CEFAS,2018,274343.0
CENTRE FOR INNOVATION EXCELLENCE IN LIVESTOCK,2017,610000.0
CENTRE FOR PROCESS INNOVATION LIMITED,2015,1053790.0
CENTRE FOR PROCESS INNOVATION LIMITED,2016,427977.0
CENTRE FOR PROCESS INNOVATION LIMITED,2017,817242.0
CENTRE FOR PROCESS INNOVATION LIMITED,2018,13000000.0
CERES POWER LIMITED,2016,772292.0
CERES POWER LIMITED,2017,816950.0
CERYX MEDICAL LIMITED,2018,104160.0
CFMS SERVICES LIMITED,2016,2110008.0
CGA SIMULATION LIMITED,2018,746318.0
CHAIN BIOTECHNOLOGY LIMITED,2017,553921.0
CHAIN BIOTECHNOLOGY LIMITED,2018,69976.0
CHAPMAN VENTILATION LIMITED,2017,117620.0
CHELSEA TECHNOLOGIES GROUP LTD,2018,74043.0
CHERRY VALLEY FARMS LIMITED,2018,658743.0
CHIARO TECHNOLOGY LIMITED,2017,419682.0
CHROMACITY LIMITED,2018,213421.0
CHROMITION LIMITED,2017,378650.0
CHROMOSOL LIMITED,2018,104674.0
CHRONOS TECHNOLOGY LIMITED,2017,706159.0
CHRONOS TECHNOLOGY LIMITED,2018,194829.0
CHRONOS THERAPEUTICS LIMITED,2016,599596.0
CIELIVESTOCK LIMITED,2016,29126876.0
CIELIVESTOCK LIMITED,2017,276587.0
CIEVERT LTD,2018,52016.0
CIP TECHNOLOGY LTD,2018,244061.0
CIPHER SURGICAL LIMITED,2017,244344.0
CIRAD,2015,151872.0
CISCO INTERNATIONAL LIMITED,2017,983921.0
CISCO INTERNATIONAL LIMITED,2018,4675582.0
CITI LOGIK LIMITED,2017,451589.0
CITY SCIENCE CORPORATION LIMITED,2018,1297308.0
CITY UNIVERSITY LONDON,2011,85141.0
CITY UNIVERSITY LONDON,2015,491808.0
CITY UNIVERSITY LONDON,2016,2326341.0
CITY UNIVERSITY LONDON,2017,3914433.0
CITY UNIVERSITY LONDON,2018,1736844.0
CIVIL AVIATION AUTHORITY,2018,984007.0
CJR PROPULSION LIMITED,2014,294510.0
CLARITY BIOSOLUTIONS LIMITED,2017,84437.0
CLARITY BIOSOLUTIONS LIMITED,2018,700811.0
CLEVER SWEETS LIMITED,2018,69467.0
CLINICAGENO LIMITED,2015,287068.0
CLOUD MADE LIMITED,2018,167358.0
CLOUDNC LTD,2018,488148.0
CN BIO INNOVATIONS LIMITED,2017,341988.0
CNG FUELS LTD,2017,1959841.0
CNH INDUSTRIAL N.V.,2017,9090066.0
CNR SERVICES INTERNATIONAL LIMITED,2018,69038.0
CNRS - DELEGATION MIDI-PYRENEES,2015,172282.0
CO2I LTD,2017,271718.0
COBRA BIOLOGICS LIMITED,2016,1403616.0
COBRA BIOLOGICS LIMITED,2017,1906751.0
COBRA BIOLOGICS LIMITED,2018,59849.0
COCONTROL LTD,2018,68521.0
COG-NEURO SPEECH THERAPY LIMITED,2018,55535.0
COGNITIV+ LTD,2018,404395.0
COGNIZANT BUSINESS SERVICES UK LIMITED,2018,125009.0
COHESION MEDICAL LTD.,2018,139743.0
COLDQUANTA UK LIMITED,2018,180382.0
COLIN MEAR ENGINEERING LIMITED,2017,106460.0
COMPACT CRYOGENICS,2018,91908.0
COMPASS OPTICS LIMITED,2017,39125.0
COMPOSITES EVOLUTION LIMITED,2018,523196.0
COMPOUND SEMI CONDUCTOR APPLICATIONS CATAPULT,2018,51267468.0
COMPOUND SEMICONDUCTOR CENTRE LIMITED,2017,1139343.0
COMPOUND SEMICONDUCTOR TECHNOLOGIES GLOBAL LIMITED,2017,1663237.0
COMPOUND SEMICONDUCTOR TECHNOLOGIES GLOBAL LIMITED,2018,732893.0
CONGENICA LTD,2018,407013.0
CONNECTED DIGITAL ECONOMY CATAPULT,2018,910755.0
CONSTELLIUM UK LIMITED,2018,1928201.0
CONTAMAC LIMITED,2016,389640.0
CORPORATE RISK ASSOCIATES LIMITED,2018,69858.0
CORPORATION POP LTD,2018,467359.0
CORROSION RADAR LIMITED,2018,433310.0
CORTEXICA VISION SYSTEMS LIMITED,2018,679251.0
CORTIRIO LIMITED,2018,147164.0
COSTAIN LIMITED,2017,389039.0
COSWORTH LIMITED,2017,461632.0
COUNCIL FOR SCI AND INDUSTRIAL RES,2015,224491.0
COVENTRY CITY COUNCIL,2017,79200000.0
COVENTRY UNIVERSITY,2013,669208.0
COVENTRY UNIVERSITY,2015,6953160.0
COVENTRY UNIVERSITY,2016,257772.0
COVENTRY UNIVERSITY,2017,1953687.0
COVENTRY UNIVERSITY,2018,2036230.0
COVERIS FLEXIBLES (GAINSBOROUGH) UK LIMITED,2018,594895.0
CRAFT PROSPECT LTD,2018,52372.0
CRAFTSMAN TOOLS LIMITED,2017,78479.0
CRANFIELD UNIVERSITY,2013,347041.0
CRANFIELD UNIVERSITY,2014,9002602.0
CRANFIELD UNIVERSITY,2015,6472813.0
CRANFIELD UNIVERSITY,2016,5085333.0
CRANFIELD UNIVERSITY,2017,14323835.0
CRANFIELD UNIVERSITY,2018,14296666.0
CREATE TECHNOLOGIES LIMITED,2018,1569186.0
CREDIT DATA RESEARCH LIMITED,2017,82038.0
CREDIT VISION LIMITED,2016,247230.0
CRODA EUROPE LIMITED,2016,65217.0
CRODA EUROPE LIMITED,2017,350179.0
CROFT ADDITIVE MANUFACTURING LTD,2017,115188.0
CROP HEALTH AND PROTECTION LIMITED,2016,17987605.0
CROP INNOVATIONS,2017,323090.0
CROP INTELLECT LTD,2017,67270.0
CROP-INNOVATIONS,2017,269598.0
CROWD DYNAMICS INTERNATIONAL LIMITED,2018,123247.0
CROWN PACKAGING MANUFACTURING UK LIMITED,2015,701608.0
CROWN PACKAGING MANUFACTURING UK LIMITED,2017,811920.0
CRYOGATT SYSTEMS LIMITED,2018,1098923.0
CRYPTA LABS LIMITED,2018,113913.0
CRYSTEC LIMITED,2017,723588.0
CSCOUT LTD,2017,391603.0
CT ENGINEERING GROUP UK LTD,2018,192944.0
CUBIC TRANSPORTATION SYSTEMS LIMITED,2017,280413.0
CUMMINS LTD.,2018,1860090.0
CURATIO INTERNATIONAL FOUNDATION,2017,684401.0
CURTIS ANALYTICS LIMITED,2018,365499.0
CUSH HEALTH LTD,2018,38079.0
CUSTOMEM LTD,2017,69800.0
CUTE CIRCUIT LTD,2018,41759.0
CYANETICS LTD.,2018,217328.0
CYBER-WELD LIMITED,2018,645496.0
CYBERMOOR SERVICES LTD,2016,50177.0
CYBORN  LIMITED,2018,177212.0
CYBULA LIMITED,2017,578966.0
