,LeadROName,Department,ProjectCategory,AwardPounds,Region,year
192,University of Surrey,Vision Speech and Signal Proc CVSSP,Research Grant,980874.0,South East,2018
193,Imperial College London,Dept of Physics,Research Grant,804194.0,London,2017
194,Aberystwyth University,International Politics,Research Grant,35935.0,Wales,2017
195,University of Leeds,Ctr for Plant Sciences,Training Grant,188252.0,Yorkshire and The Humber,2014
196,University of Warwick,Warwick Medical School,Research Grant,393260.0,West Midlands,2016
197,Newcastle University,School of Arts and Cultures,Research Grant,238459.0,North East,2016
198,University College London,Biochemical Engineering,Training Grant,3709814.0,London,2015
199,Imperial College London,Life Sciences,Research Grant,392500.0,London,2018
200,University of Birmingham,School of Chemistry,Research Grant,50243.0,West Midlands,2018
201,University of Sheffield,Geography,Research Grant,300000.0,Yorkshire and The Humber,2018
202,Lancaster University,Chemistry,Research Grant,89757.0,North West,2018
203,University of Liverpool,Student Administration and Support,Training Grant,417144.0,North West,2014
204,London School of Economics & Pol Sci,International Relations,Research Grant,151518.0,London,2017
205,Project Andiamo Ltd,,Collaborative R&D,390095.0,London,2017
206,NERC Centre for Ecology and Hydrology,Directors and Science Coordinators,Research Grant,22274234.0,South East,2018
207,University of Warwick,History,Research Grant,36417.0,West Midlands,2018
208,University of Cambridge,Medicine,Research Grant,386860.0,East of England,2016
209,University of St Andrews,Office of the Principal,Training Grant,1747258.0,Scotland,2016
210,London South Bank University,School of Arts and Creative Industries,Research Grant,34830.0,London,2017
211,University of Manchester,"Environment, Education and Development",Training Grant,301269.0,North West,2011
212,University of Sheffield,Physics and Astronomy,Research Grant,42205.0,Yorkshire and The Humber,2016
213,Newcastle University,Inst for Cell and Molecular Biosciences,Research Grant,551321.0,North East,2018
214,Magnetic Systems Technology Limited,,Collaborative R&D,1729909.0,Yorkshire and The Humber,2018
215,Cardiff University,School of Biosciences,Fellowship,304030.0,Wales,2018
216,University College London,Mullard Space Science Laboratory,Fellowship,54779.0,London,2016
217,Richmond Design & Marketing Limited,,Collaborative R&D,2454004.0,West Midlands,2018
218,Sheffield Hallam University,,Knowledge Transfer Partnership,115089.0,Yorkshire and The Humber,2017
219,University of Manchester,School of Biological Sciences,Fellowship,664960.0,North West,2013
220,University of Exeter,Geography,Research Grant,282093.0,South West,2016
221,Brunel University,Research Support and Development Office,Training Grant,1404660.0,London,2016
222,University of Cambridge,Obstetrics and Gynaecology,Research Grant,1583174.0,East of England,2014
223,University of Cambridge,Clinical Neurosciences,Research Grant,354583.0,East of England,2018
224,Royal Veterinary College,Pathology and Pathogen Biology,Research Grant,400104.0,London,2016
225,University of Glasgow,School of Engineering,Research Grant,83395.0,Scotland,2018
226,London School of Economics & Pol Sci,Centre for Economic Performance,Fellowship,342454.0,London,2018
227,University College London,Institute of Health Informatics,Fellowship,313016.0,London,2018
228,BioMoti Limited,,Collaborative R&D,662222.0,London,2017
229,National Inst of Agricultural Botany,Centre for Research,Research Grant,183094.0,East of England,2016
230,University College London,Medicine,Research Grant,1079228.0,London,2018
231,University of St Andrews,Earth and Environmental Sciences,Research Grant,427620.0,Scotland,2017
232,King's College London,Imaging & Biomedical Engineering,Other Grant,6165151.0,London,2017
233,University College London,Computer Science,Research Grant,974935.0,London,2018
234,King's College London,Neuroscience,Research Grant,185140.0,London,2018
235,University College London,UCL Institute for Global Prosperity,Research Grant,4117492.0,London,2017
236,University of Liverpool,Computer Science,Research Grant,429107.0,North West,2015
237,"Queen Mary, University of London",Sch of Biological and Chemical Sciences,Training Grant,107034.0,London,2018
238,University of Edinburgh,Sch of Biological Sciences,Fellowship,508608.0,Scotland,2014
239,Lancaster University,Lancaster Environment Centre,Research Grant,102410.0,North West,2016
240,University of Birmingham,Clinical and Experimental Medicine,Research Grant,460142.0,West Midlands,2016
241,Bangor University,Sch of Natural Sciences,Research Grant,297299.0,Wales,2018
242,University of Edinburgh,MRC Centre for Regenerative Medicine,Fellowship,609771.0,Scotland,2018
243,Productiv Limited,,Collaborative R&D,1059720.0,West Midlands,2017
244,Heriot-Watt University,"Sch of Energy, Geosci, Infrast & Society",Training Grant,200000.0,Scotland,2018
245,Durham University,Archaeology,Research Grant,689801.0,North East,2016
246,University of Cambridge,Earth Sciences,Fellowship,350939.0,East of England,2018
247,University of Bristol,Geographical Sciences,Research Grant,1069226.0,South West,2017
248,University of Cambridge,Clinical Neurosciences,Research Grant,4095179.0,East of England,2018
249,University of Leeds,Mechanical Engineering,Training Grant,96696.0,Yorkshire and The Humber,2017
250,University of Edinburgh,Sch of Physics and Astronomy,Research Grant,699025.0,Scotland,2018
251,University of Bristol,Clinical Science at South Bristol,Research Grant,622762.0,South West,2016
252,North Pennines AONB Partnership,AONB,Research Grant,9330.0,Outside UK,2015
253,University of Bath,Mathematical Sciences,Research Grant,316872.0,South West,2016
254,University of Leeds,School of Medicine,Fellowship,331280.0,Yorkshire and The Humber,2018
255,University of Sheffield,Molecular Biology and Biotechnology,Research Grant,674947.0,Yorkshire and The Humber,2015
256,University of Southampton,Faculty of Engineering & the Environment,Research Grant,682414.0,South East,2018
257,Imperial College London,Life Sciences,Research Grant,340420.0,London,2016
258,National Inst of Agricultural Botany,Genetics and Breeding,Research Grant,786811.0,East of England,2018
259,University of York,Archaeology,Research Grant,52261.0,Yorkshire and The Humber,2018
260,University of Birmingham,School of Physics and Astronomy,Research Grant,196907.0,West Midlands,2016
261,University of Bristol,Physics,Research Grant,4574888.0,South West,2016
262,ITM Power (Trading) Limited,,Collaborative R&D,226611.0,East Midlands,2018
263,Newcastle University,Institute of Cellular Medicine,Training Grant,98212.0,North East,2017
264,School of Oriental & African Studies,Law,Research Grant,36421.0,London,2016
265,University of Southampton,Sch of Mathematical Sciences,Research Grant,99082.0,South East,2016
266,Num Technology  Ltd,,CRD,292480.0,Unknown,2018
267,Bennamann Ltd,,Feasibility Studies,313860.0,South West,2017
268,University of Sheffield,Mechanical Engineering,Research Grant,5112624.0,Yorkshire and The Humber,2018
269,University of Strathclyde,,Knowledge Transfer Partnership,102575.0,Scotland,2017
270,University of Leeds,Pure Mathematics,Fellowship,201888.0,Yorkshire and The Humber,2016
271,Institute of Occupational Medicine,Research,Research Grant,495171.0,Scotland,2016
272,University College London,Physics and Astronomy,Research Grant,91041.0,London,2017
273,University of Essex,,Knowledge Transfer Partnership,127552.0,East of England,2018
274,University of Wolverhampton,,Knowledge Transfer Partnership,116735.0,West Midlands,2018
275,Cardiff University,School of Biosciences,Research Grant,719568.0,Wales,2015
276,Imperial College London,Life Sciences,Fellowship,841139.0,London,2015
277,University College London,Institute of Archaeology,Research Grant,1605999.0,London,2015
278,British Trust for Ornithology,British Trust for Ornithology (Norfolk),Research Grant,127632.0,East of England,2018
279,University of the Witwatersrand,Faculty of Health Sciences,Research Grant,150033.0,Outside UK,2017
280,Cardiff University,School of Physics and Astronomy,Research Grant,401969.0,Wales,2016
281,University of Exeter,Biosciences,Training Grant,96696.0,South West,2016
282,University of Birmingham,School of Chemistry,Research Grant,196452.0,West Midlands,2017
283,Queen's University of Belfast,,Knowledge Transfer Partnership,95166.0,Northern Ireland,2015
284,University of Aberdeen,"Sch of Medicine, Medical Sci & Nutrition",Research Grant,705467.0,Scotland,2017
285,St George's University of London,Molecular & Clinical Sci Research Inst,Research Grant,506956.0,London,2015
286,University of East Anglia,,Knowledge Transfer Partnership,82452.0,East of England,2018
287,University of Strathclyde,Physics,Research Grant,508001.0,Scotland,2015
288,University of Birmingham,Personnel Services,Training Grant,300000.0,West Midlands,2018
289,University of Southampton,Sch of Biological Sciences,Research Grant,340767.0,South East,2017
290,John Innes Centre,Cell and Develop Biology,Fellowship,1012044.0,East of England,2017
291,University of Reading,Meteorology,Research Grant,470713.0,South East,2017
292,Sentinel Oncology Limited,,Collaborative R&D,1188359.0,East of England,2018
293,University of Oxford,Oxford Physics,Research Grant,129494.0,South East,2017
294,Rothamsted Research,Sustainable Agriculture Sciences-H,Research Grant,252988.0,East of England,2017
295,University College London,Computer Science,Research Grant,81903.0,London,2017
296,Imperial College London,Life Sciences,Research Grant,614796.0,London,2015
297,University of East Anglia,Computing Sciences,Research Grant,29625.0,East of England,2017
298,Healthera Ltd,,Collaborative R&D,665942.0,East of England,2017
299,Cranfield University,"School of Water, Energy and Environment",Research Grant,525075.0,East of England,2015
300,Safran Power UK Ltd.,,BIS-Funded Programmes,13041335.0,South East,2017
301,NERC British Antarctic Survey,Science Programmes,Research Grant,1218263.0,East of England,2017
302,University of Nottingham,Sch of Physics & Astronomy,Research Grant,393230.0,East Midlands,2015
303,Queen's University of Belfast,"Sch of Arts, English and Languages",Research Grant,787031.0,Northern Ireland,2014
304,University of Cambridge,Physics,Research Grant,5125274.0,East of England,2015
305,Personalyze Limited,,Feasibility Studies,105465.0,Unknown,2018
306,Imperial College London,Dept of Bioengineering,Research Grant,292798.0,London,2016
307,University of Strathclyde,Politics,Research Grant,161103.0,Scotland,2018
308,Cynation Limited,,Feasibility Studies,172156.0,South East,2017
309,University of Bristol,Earth Sciences,Fellowship,154208.0,South West,2017
310,Imperial College London,Materials,Research Grant,1238785.0,London,2015
311,University of Bristol,Physics,Research Grant,5062359.0,South West,2014
312,University of Exeter,Modern Languages Hispanic Studies,Fellowship,201792.0,South West,2018
313,Sphere Fluidics Limited,,Collaborative R&D,754544.0,East of England,2017
314,Expert Tooling & Automation Limited,,Collaborative R&D,1296159.0,West Midlands,2016
315,Perkins Engines Company Limited,,Collaborative R&D,13044190.0,East of England,2015
316,University of Bristol,Physics,Research Grant,4325358.0,South West,2017
317,University of Oxford,Engineering Science,Research Grant,668728.0,South East,2015
318,Harvard University,Office for Sponsored Programs,Research Grant,303246.0,Outside UK,2017
319,University of Strathclyde,Research and Knowledge Exchange Services,Training Grant,4802618.0,Scotland,2018
320,University of Liverpool,Archaeology Classics and Egyptology,Research Grant,755011.0,North West,2017
321,EDCTP,,Research Grant,1109091.0,Outside UK,2016
322,Ilika Technologies Ltd,,Collaborative R&D,1072971.0,South East,2015
323,Institute of Cancer Research,Division of Breast Cancer Research,Fellowship,243836.0,London,2015
324,Centre for Env Fisheries Aqua Sci CEFAS,CEFAS Lowestoft Laboratory,Research Grant,231375.0,East of England,2013
325,University of Oxford,Engineering Science,Fellowship,843225.0,South East,2014
326,University of Cambridge,Earth Sciences,Research Grant,105297.0,East of England,2013
327,University College London,MRC Laboratory of Molecular Cell Biology,Research Grant,534546.0,London,2016
328,University of Nottingham,Sch of Mathematical Sciences,Research Grant,2331858.0,East Midlands,2015
329,University College London,,Research Grant,66708.0,London,2013
330,University of Bath,Electronic and Electrical Engineering,Research Grant,188296.0,South West,2018
331,City University London,Sch of Engineering and Mathematical Sci,Research Grant,348022.0,London,2016
332,University of Nottingham,Faculty of Engineering,Research Grant,258949.0,East Midlands,2018
333,Lancaster University,Lancaster Environment Centre,Research Grant,347409.0,North West,2018
334,University of Manchester,Materials,Research Grant,33009.0,North West,2017
335,Added Scientific Limited,,Feasibility Studies,45615.0,East Midlands,2018
336,University of York,Registrar,Training Grant,416480.0,Yorkshire and The Humber,2017
337,"Queen Mary, University of London",Blizard Institute of Cell and Molecular,Research Grant,400901.0,London,2017
338,University College London,Medicine,Research Grant,2047855.0,London,2016
339,University College London,,CRD,131047.0,London,2018
340,Protein Technologies Limited,,Collaborative R&D,341695.0,North West,2016
341,University of Leeds,Ctr for Plant Sciences,Research Grant,461759.0,Yorkshire and The Humber,2016
342,Harper Adams University,Engineering,Research Grant,224286.0,West Midlands,2015
343,Alcyomics Limited,,Feasibility Studies,203944.0,North East,2017
344,University of Southampton,"Sch of Economic, Social & Political Sci",Training Grant,305168.0,South East,2018
345,Durham University,Geography,Research Grant,205872.0,North East,2016
346,University of Glasgow,"College of Medical, Veterinary &Life Sci",Research Grant,364123.0,Scotland,2017
347,University of Bristol,Electrical and Electronic Engineering,Research Grant,177176.0,South West,2017
348,King's College London,Imaging & Biomedical Engineering,Research Grant,1123552.0,London,2018
349,Anacail Limited,,Feasibility Studies,99511.0,Scotland,2018
350,Advise-Deta Limited,,Collaborative R&D,1328497.0,Unknown,2018
351,Emblation Limited,,Feasibility Studies,162068.0,Scotland,2017
352,University of Cambridge,Physiology Development and Neuroscience,Research Grant,2109496.0,East of England,2015
353,University of Surrey,Microbial & Cellular Sciences,Training Grant,93520.0,South East,2014
354,Pepsico International Limited,,Feasibility Studies,303481.0,London,2015
355,University College London,Chemistry,Research Grant,1248345.0,London,2013
356,University of Cambridge,Engineering,Research Grant,479952.0,East of England,2017
